Date,Open,High,Low,Close,Adj Close,Volume,Rate,Action
20/06/1995,13.96875,14.0625,13.875,14,5.107029,2663600,A2,New
21/06/1995,14.0625,14.1875,14.03125,14.125,5.152625,2723200,A2,New
22/06/1995,14.21875,14.375,14.15625,14.34375,5.232422,2796000,A2,New
23/06/1995,14.25,14.34375,14,14.0625,5.129828,4588400,A2,New
26/06/1995,14.0625,14.0625,13.90625,13.96875,5.095628,2026800,A2,New
27/06/1995,13.90625,14.03125,13.65625,13.6875,4.993033,2094400,A2,New
28/06/1995,13.6875,13.78125,13.53125,13.71875,5.004432,3502400,A2,New
29/06/1995,13.6875,13.6875,13.4375,13.5,4.924633,2359600,A2,New
30/06/1995,13.5,13.5625,13.40625,13.40625,4.890435,4383200,A2,New
03/07/1995,13.4375,13.53125,13.4375,13.5,4.924633,1191200,A2,New
05/07/1995,13.5625,13.625,13.46875,13.625,4.970233,2491200,A2,New
06/07/1995,13.78125,13.84375,13.53125,13.84375,5.050031,2470000,A2,New
07/07/1995,13.9375,14.09375,13.90625,13.9375,5.084226,3236400,A2,New
10/07/1995,13.90625,14.09375,13.71875,13.75,5.01583,2504800,A2,New
11/07/1995,13.71875,13.9375,13.6875,13.875,5.06143,1840000,A2,New
12/07/1995,13.84375,14.09375,13.78125,14,5.107029,1804000,A2,New
13/07/1995,14,14.125,13.9375,14.09375,5.141227,1198000,A2,New
14/07/1995,14.03125,14.09375,13.84375,13.9375,5.084226,1227200,A2,New
17/07/1995,13.96875,14.09375,13.78125,13.875,5.06143,4454800,A2,New
18/07/1995,13.96875,14.15625,13.875,14.125,5.152625,5256400,A2,New
19/07/1995,14,14.09375,13.6875,13.96875,5.095628,3639600,A2,New
20/07/1995,13.96875,14.125,13.875,14.125,5.152625,2630400,A2,New
21/07/1995,14.125,14.125,13.84375,13.875,5.06143,1860000,A2,New
24/07/1995,13.90625,13.90625,13.71875,13.78125,5.027229,2314000,A2,New
25/07/1995,13.84375,14.0625,13.75,14.03125,5.118431,1646400,A2,New
26/07/1995,14.0625,14.3125,14.03125,14.21875,5.186826,2719600,A2,New
27/07/1995,14.28125,14.375,14.0625,14.125,5.152625,1538000,A2,New
28/07/1995,14.125,14.15625,14,14.03125,5.118431,1438000,A2,New
31/07/1995,13.96875,14.125,13.9375,14.03125,5.118431,1307600,A2,New
01/08/1995,14,14.0625,13.84375,14.03125,5.118431,1782400,A2,New
02/08/1995,14.03125,14.21875,14.03125,14.21875,5.186826,3315600,A2,New
03/08/1995,14.1875,14.25,14.0625,14.21875,5.186826,2508800,A2,New
04/08/1995,14.25,14.375,14.1875,14.34375,5.232422,2150400,A2,New
07/08/1995,14.375,14.65625,14.34375,14.625,5.335023,2679600,A2,New
08/08/1995,14.65625,14.96875,14.65625,14.875,5.426218,5250000,A2,New
09/08/1995,14.875,14.90625,14.78125,14.90625,5.437615,2840800,A2,New
10/08/1995,14.84375,14.9375,14.75,14.90625,5.437615,2040400,A2,New
11/08/1995,14.90625,14.90625,14.4375,14.53125,5.300822,2137600,A2,New
14/08/1995,14.5625,14.59375,14.4375,14.5,5.289424,1552800,A2,New
15/08/1995,14.5,14.65625,14.46875,14.65625,5.346421,1659200,A2,New
16/08/1995,14.78125,14.875,14.71875,14.875,5.426218,1880000,A2,New
17/08/1995,14.84375,14.90625,14.75,14.84375,5.414817,1947200,A2,New
18/08/1995,15,15.03125,14.90625,14.96875,5.460416,2320400,A2,New
21/08/1995,15,15.03125,14.9375,14.9375,5.449014,2899200,A2,New
22/08/1995,14.9375,15,14.78125,14.96875,5.460416,1806800,A2,New
23/08/1995,14.96875,14.96875,14.875,14.90625,5.437615,1804800,A2,New
24/08/1995,14.96875,15.1875,14.90625,15.09375,5.506015,2795600,A2,New
25/08/1995,15.0625,15.40625,15.0625,15.375,5.80077,2407200,A2,New
28/08/1995,15.34375,15.59375,15.3125,15.53125,5.859721,2900400,A2,New
29/08/1995,15.46875,15.46875,15.3125,15.40625,5.812559,5500800,A2,New
30/08/1995,15.1875,15.40625,15.1875,15.34375,5.836334,3147200,A2,New
31/08/1995,15.34375,15.46875,15.25,15.34375,5.836334,2368400,A2,New
01/09/1995,15.25,15.4375,15.25,15.375,5.84822,2605200,A2,New
05/09/1995,15.1875,15.21875,15.03125,15.21875,5.788785,3519600,A2,CONFIRMED
06/09/1995,15.25,15.40625,15.25,15.375,5.84822,5017600,A2,CONFIRMED
07/09/1995,15.4375,15.59375,15.375,15.59375,5.931426,5788400,A2,CONFIRMED
08/09/1995,15.625,15.875,15.59375,15.875,6.038407,6355600,A2,CONFIRMED
11/09/1995,15.84375,16.09375,15.8125,16.0625,6.109728,5700800,A2,CONFIRMED
12/09/1995,16.0625,16.09375,15.90625,16.09375,6.121611,3396000,A2,CONFIRMED
13/09/1995,16.03125,16.21875,16.03125,16.1875,6.15727,2832400,A2,CONFIRMED
14/09/1995,16.1875,16.4375,16.15625,16.4375,6.252362,3589600,A2,CONFIRMED
15/09/1995,16.46875,16.75,16.40625,16.71875,6.359342,4906400,A2,CONFIRMED
18/09/1995,16.6875,16.71875,16.40625,16.625,6.323684,3800400,A2,CONFIRMED
19/09/1995,16.625,17.0625,16.53125,17.0625,6.490096,3852800,A2,CONFIRMED
20/09/1995,17.09375,17.21875,16.96875,17.125,6.513869,3395600,A2,CONFIRMED
21/09/1995,17.09375,17.15625,16.90625,17.03125,6.478209,3422000,A2,CONFIRMED
22/09/1995,16.90625,17.03125,16.875,17,6.466324,4437200,A2,CONFIRMED
25/09/1995,17.0625,17.0625,16.8125,16.875,6.418776,2280000,A2,CONFIRMED
26/09/1995,16.84375,16.84375,16.71875,16.78125,6.383117,2366800,A2,CONFIRMED
27/09/1995,16.6875,17,16.65625,17,6.466324,3344400,A2,CONFIRMED
28/09/1995,17,17.0625,16.84375,17.03125,6.478209,3482400,A2,CONFIRMED
29/09/1995,17.03125,17.03125,16.8125,16.8125,6.395005,2851600,A2,CONFIRMED
02/10/1995,16.8125,17.09375,16.75,17.03125,6.478209,3718400,A2,CONFIRMED
03/10/1995,17,17.3125,16.96875,17.3125,6.585188,4387200,A2,CONFIRMED
04/10/1995,17.25,17.75,17.21875,17.5,6.65651,5179600,A2,CONFIRMED
05/10/1995,17.5,17.5625,17.34375,17.40625,6.620848,1775200,A2,CONFIRMED
06/10/1995,17.40625,17.53125,17.34375,17.4375,6.632738,1767200,A2,CONFIRMED
09/10/1995,17.40625,17.5,17.28125,17.5,6.65651,1206400,A2,CONFIRMED
10/10/1995,17.28125,17.3125,17.15625,17.28125,6.573305,2980000,A2,CONFIRMED
11/10/1995,17.28125,17.5,17.25,17.4375,6.632738,1769200,A2,CONFIRMED
12/10/1995,17.5,18.03125,17.5,18.03125,6.858581,4588800,A2,CONFIRMED
13/10/1995,18,18.0625,17.78125,17.90625,6.811036,2126800,A2,CONFIRMED
16/10/1995,17.75,18.09375,17.75,17.8125,6.775377,3169600,A2,CONFIRMED
17/10/1995,17.875,18.03125,17.875,17.96875,6.834809,4562400,A2,CONFIRMED
18/10/1995,18.25,18.25,18.0625,18.15625,6.906127,3937600,A2,CONFIRMED
19/10/1995,18.125,18.125,17.78125,17.9375,6.822922,4228000,A2,CONFIRMED
20/10/1995,17.9375,17.9375,17.4375,17.5,6.65651,4538800,A2,CONFIRMED
23/10/1995,17.5,17.9375,17.5,17.6875,6.727829,3990000,A2,CONFIRMED
24/10/1995,17.75,17.78125,17.28125,17.34375,6.597079,2820800,A2,CONFIRMED
25/10/1995,17.34375,17.40625,16.4375,16.46875,6.264254,5020400,A2,CONFIRMED
26/10/1995,16.375,16.375,16,16.25,6.181046,5439600,A2,CONFIRMED
27/10/1995,16.125,16.90625,16.09375,16.875,6.418776,4554400,A2,CONFIRMED
30/10/1995,17,17,16.375,16.5,6.276138,4149600,A2,CONFIRMED
31/10/1995,16.5,16.5,16.34375,16.4375,6.252362,2528400,A2,CONFIRMED
01/11/1995,16.46875,16.71875,16.40625,16.71875,6.359342,3647600,A2,CONFIRMED
02/11/1995,16.75,17.15625,16.65625,17.125,6.513869,2117200,A2,CONFIRMED
03/11/1995,17.09375,17.09375,16.78125,16.875,6.418776,2052000,A2,CONFIRMED
06/11/1995,16.84375,17,16.78125,16.875,6.418776,2150400,A2,CONFIRMED
07/11/1995,16.9375,16.9375,16.6875,16.71875,6.359342,2440800,A2,CONFIRMED
08/11/1995,16.78125,17.03125,16.75,16.96875,6.454439,3183600,A2,CONFIRMED
09/11/1995,17.0625,17.34375,17,17.34375,6.597079,5187600,A2,CONFIRMED
10/11/1995,17.25,17.40625,17,17.34375,6.597079,1830400,A2,CONFIRMED
13/11/1995,17.34375,17.34375,17.25,17.25,6.561417,2194800,A2,CONFIRMED
14/11/1995,17.21875,17.21875,17.0625,17.09375,6.501987,2841600,A2,CONFIRMED
15/11/1995,17.09375,17.09375,16.8125,16.9375,6.442552,2591200,A2,CONFIRMED
16/11/1995,16.9375,17.3125,16.875,17.28125,6.573305,3547600,A2,CONFIRMED
17/11/1995,17.375,17.75,17.25,17.6875,6.727829,3584000,A2,CONFIRMED
20/11/1995,17.6875,17.71875,17.53125,17.5625,6.680283,1710400,A2,CONFIRMED
21/11/1995,17.5625,17.8125,17.53125,17.71875,6.739717,2648000,A2,CONFIRMED
22/11/1995,17.84375,17.90625,17.65625,17.8125,6.775377,2013200,A2,CONFIRMED
24/11/1995,17.71875,17.875,17.71875,17.8125,6.775377,948000,A2,CONFIRMED
27/11/1995,17.84375,18.46875,17.78125,18.125,6.894245,5134800,A2,CONFIRMED
28/11/1995,18.125,18.125,17.84375,17.96875,6.834809,3375600,A2,CONFIRMED
29/11/1995,17.84375,17.96875,17.71875,17.90625,7.038216,2359600,A2,CONFIRMED
30/11/1995,17.90625,18,17.8125,17.875,7.025932,1730400,A2,CONFIRMED
01/12/1995,17.9375,18.03125,17.875,17.9375,7.050499,2388800,A2,CONFIRMED
04/12/1995,18.0625,18.46875,18.03125,18.34375,7.210179,3038400,A2,CONFIRMED
05/12/1995,18.3125,18.4375,18.125,18.1875,7.148765,2904400,A2,CONFIRMED
06/12/1995,18.25,18.6875,18.25,18.625,7.320728,4057200,A2,CONFIRMED
07/12/1995,18.5625,18.65625,18.28125,18.40625,7.234745,3269600,A2,CONFIRMED
08/12/1995,18.46875,18.5625,18.3125,18.40625,7.234745,2271200,A2,CONFIRMED
11/12/1995,18.40625,18.40625,18.1875,18.25,7.17333,1179200,A2,CONFIRMED
12/12/1995,18.125,18.28125,18.09375,18.25,7.17333,1436000,A2,CONFIRMED
13/12/1995,18.25,18.28125,18.03125,18.0625,7.099632,1263200,A2,CONFIRMED
14/12/1995,18.0625,18.0625,17.40625,17.53125,6.89082,2508400,A2,CONFIRMED
15/12/1995,17.625,17.71875,17.5,17.5,6.878535,4133200,A2,CONFIRMED
18/12/1995,17.5,17.5,17.0625,17.1875,6.755708,3090000,A2,CONFIRMED
19/12/1995,17.125,17.46875,17.0625,17.34375,6.817122,3730800,A2,CONFIRMED
20/12/1995,17.375,17.78125,17.34375,17.5,6.878535,3666000,A2,CONFIRMED
21/12/1995,17.65625,17.75,17.125,17.21875,6.767991,2737200,A2,CONFIRMED
22/12/1995,17.1875,17.21875,16.96875,17.125,6.73114,3510000,A2,CONFIRMED
26/12/1995,17.09375,17.21875,17.03125,17.09375,6.718859,808400,A2,CONFIRMED
