Date,Open,High,Low,Close,Adj Close,Volume,Rate,Action
28/04/1994,2.580673,2.580673,2.513468,2.567232,0.251422,314200,A1,New
29/04/1994,2.54035,2.620996,2.54035,2.607555,0.255371,241700,A1,New
02/05/1994,2.594114,2.594114,2.553791,2.580673,0.252739,348700,A1,New
03/05/1994,2.553791,2.553791,2.473145,2.526909,0.247473,188700,A1,New
04/05/1994,2.419381,2.432822,2.40594,2.419381,0.236942,543900,A1,New
05/05/1994,2.392499,2.486586,2.392499,2.486586,0.243524,278000,A1,New
06/05/1994,2.486586,2.526909,2.486586,2.486586,0.243524,106800,A1,New
09/05/1994,2.473145,2.500027,2.459704,2.459704,0.240891,182200,A1,New
10/05/1994,2.486586,2.513468,2.473145,2.513468,0.246157,216600,A1,New
11/05/1994,2.513468,2.513468,2.473145,2.473145,0.242208,211000,A1,New
12/05/1994,2.500027,2.580673,2.500027,2.580673,0.252739,99400,A1,New
13/05/1994,2.553791,2.580673,2.553791,2.580673,0.252739,236100,A1,New
16/05/1994,2.553791,2.594114,2.54035,2.594114,0.254055,180400,A1,New
17/05/1994,2.553791,2.607555,2.54035,2.594114,0.254055,263100,A1,New
18/05/1994,2.607555,2.634437,2.607555,2.634437,0.258004,254700,A1,New
19/05/1994,2.580673,2.607555,2.580673,2.594114,0.254055,382100,A1,New
20/05/1994,2.620996,2.634437,2.594114,2.620996,0.256687,252000,A1,New
23/05/1994,2.607555,2.634437,2.607555,2.620996,0.256687,150600,A1,New
24/05/1994,2.607555,2.634437,2.580673,2.594114,0.254055,203500,A1,New
25/05/1994,2.567232,2.594114,2.553791,2.567232,0.251422,176600,A1,New
26/05/1994,2.567232,2.594114,2.553791,2.580673,0.252739,253800,A1,New
27/05/1994,2.580673,2.594114,2.567232,2.567232,0.251422,132900,A1,New
31/05/1994,2.553791,2.567232,2.526909,2.567232,0.251422,157100,A1,New
01/06/1994,2.54035,2.553791,2.500027,2.526909,0.247473,325400,A1,New
02/06/1994,2.526909,2.567232,2.500027,2.513468,0.246157,427700,A1,New
03/06/1994,2.486586,2.526909,2.486586,2.526909,0.247473,171000,A1,New
06/06/1994,2.526909,2.526909,2.473145,2.473145,0.242208,191400,A1,New
07/06/1994,2.486586,2.500027,2.446263,2.473145,0.242208,319800,A1,New
08/06/1994,2.473145,2.513468,2.473145,2.513468,0.246157,210100,A1,New
09/06/1994,2.513468,2.513468,2.486586,2.486586,0.243524,167300,A1,New
10/06/1994,2.486586,2.526909,2.486586,2.526909,0.247473,167300,A1,New
13/06/1994,2.500027,2.526909,2.486586,2.513468,0.246157,418400,A1,New
14/06/1994,2.513468,2.526909,2.486586,2.500027,0.24484,463100,A1,New
15/06/1994,2.513468,2.513468,2.473145,2.500027,0.24484,191400,A1,New
16/06/1994,2.446263,2.459704,2.432822,2.459704,0.240891,236100,A1,New
17/06/1994,2.446263,2.446263,2.432822,2.446263,0.239575,254700,A1,New
20/06/1994,2.40594,2.446263,2.392499,2.446263,0.239575,172800,A1,New
21/06/1994,2.392499,2.40594,2.379058,2.40594,0.235626,168300,A1,New
22/06/1994,2.40594,2.446263,2.40594,2.432822,0.238259,178400,A1,New
23/06/1994,2.446263,2.473145,2.419381,2.459704,0.240891,150600,A1,New
24/06/1994,2.419381,2.432822,2.40594,2.432822,0.238259,268600,A1,New
27/06/1994,2.392499,2.459704,2.392499,2.446263,0.239575,402600,A1,New
28/06/1994,2.446263,2.486586,2.446263,2.459704,0.240891,295700,A1,New
29/06/1994,2.473145,2.486586,2.446263,2.459704,0.240891,132900,A1,New
30/06/1994,2.392499,2.392499,2.338735,2.365617,0.231677,94700,A1,New
01/07/1994,2.258089,2.298412,2.258089,2.298412,0.248546,415600,A1,New
05/07/1994,2.325294,2.338735,2.311853,2.311853,0.249999,198000,A1,New
06/07/1994,2.311853,2.325294,2.284971,2.311853,0.249999,555100,A1,New
07/07/1994,2.311853,2.365617,2.311853,2.352176,0.25436,452800,A1,New
08/07/1994,2.325294,2.379058,2.311853,2.365617,0.255813,150600,A1,New
11/07/1994,2.365617,2.432822,2.365617,2.432822,0.263081,121700,A1,New
12/07/1994,2.432822,2.500027,2.432822,2.486586,0.268895,438000,A1,New
13/07/1994,2.486586,2.513468,2.486586,2.486586,0.268895,309600,A1,New
14/07/1994,2.500027,2.513468,2.486586,2.486586,0.268895,162700,A1,New
15/07/1994,2.459704,2.473145,2.432822,2.446263,0.264534,217500,A1,New
18/07/1994,2.446263,2.500027,2.446263,2.500027,0.270348,260300,A1,New
19/07/1994,2.473145,2.473145,2.446263,2.446263,0.264534,567200,A1,New
20/07/1994,2.432822,2.446263,2.419381,2.432822,0.263081,130100,A1,New
21/07/1994,2.459704,2.473145,2.446263,2.459704,0.265988,357900,A1,New
22/07/1994,2.446263,2.473145,2.432822,2.446263,0.264534,128200,A1,New
25/07/1994,2.446263,2.500027,2.446263,2.500027,0.270348,130100,A1,New
26/07/1994,2.486586,2.513468,2.473145,2.486586,0.268895,212900,A1,New
27/07/1994,2.500027,2.513468,2.473145,2.473145,0.267441,212900,A1,New
28/07/1994,2.513468,2.513468,2.459704,2.486586,0.268895,281600,A1,New
29/07/1994,2.500027,2.553791,2.500027,2.553791,0.276162,148700,A1,New
01/08/1994,2.553791,2.661319,2.553791,2.634437,0.284883,230500,A1,New
02/08/1994,2.620996,2.634437,2.620996,2.634437,0.284883,187800,A1,New
03/08/1994,2.634437,2.661319,2.620996,2.647878,0.286337,380300,A1,New
04/08/1994,2.620996,2.634437,2.607555,2.607555,0.281976,249100,A1,New
05/08/1994,2.607555,2.647878,2.594114,2.594114,0.280523,389500,A1,New
08/08/1994,2.620996,2.647878,2.620996,2.647878,0.286337,263100,A1,New
09/08/1994,2.594114,2.620996,2.594114,2.594114,0.280523,199900,A1,New
10/08/1994,2.607555,2.634437,2.607555,2.634437,0.284883,422100,A1,New
11/08/1994,2.594114,2.594114,2.513468,2.553791,0.276162,483500,A1,New
12/08/1994,2.526909,2.580673,2.526909,2.567232,0.277616,665700,A1,New
15/08/1994,2.580673,2.580673,2.54035,2.567232,0.277616,135700,A1,New
16/08/1994,2.526909,2.54035,2.500027,2.54035,0.274709,498400,A1,New
17/08/1994,2.526909,2.54035,2.486586,2.500027,0.270348,212900,A1,New
18/08/1994,2.486586,2.513468,2.486586,2.513468,0.271802,179300,A1,New
19/08/1994,2.526909,2.54035,2.513468,2.54035,0.274709,118900,A1,New
22/08/1994,2.513468,2.567232,2.513468,2.567232,0.277616,165400,A1,New
23/08/1994,2.54035,2.580673,2.54035,2.553791,0.276162,309600,A1,New
24/08/1994,2.54035,2.567232,2.526909,2.567232,0.277616,662100,A1,New
25/08/1994,2.54035,2.54035,2.500027,2.500027,0.270348,130100,A1,New
26/08/1994,2.513468,2.54035,2.513468,2.54035,0.274709,132900,A1,New
29/08/1994,2.526909,2.553791,2.526909,2.553791,0.276162,227700,A1,New
30/08/1994,2.526909,2.54035,2.526909,2.526909,0.273255,444500,A1,New
31/08/1994,2.500027,2.54035,2.500027,2.54035,0.274709,184900,A1,New
01/09/1994,2.513468,2.526909,2.500027,2.513468,0.271802,125400,A1,New
02/09/1994,2.513468,2.526909,2.500027,2.526909,0.273255,373800,A1,New
06/09/1994,2.486586,2.500027,2.473145,2.500027,0.270348,173800,A1,New
07/09/1994,2.513468,2.526909,2.486586,2.500027,0.270348,252000,A1,New
08/09/1994,2.553791,2.607555,2.553791,2.607555,0.281976,100300,A1,New
09/09/1994,2.580673,2.607555,2.553791,2.594114,0.280523,145900,A1,New
12/09/1994,2.567232,2.594114,2.567232,2.567232,0.277616,369100,A1,New
13/09/1994,2.553791,2.620996,2.553791,2.607555,0.281976,340300,A1,New
14/09/1994,2.580673,2.620996,2.580673,2.620996,0.28343,195200,A1,New
15/09/1994,2.620996,2.728524,2.620996,2.701643,0.29215,297500,A1,New
16/09/1994,2.688201,2.701643,2.67476,2.67476,0.289243,265000,A1,New
19/09/1994,2.661319,2.67476,2.634437,2.661319,0.28779,149600,A1,New
20/09/1994,2.634437,2.647878,2.620996,2.620996,0.28343,203500,A1,New
21/09/1994,2.620996,2.634437,2.594114,2.607555,0.281976,355200,A1,New
22/09/1994,2.607555,2.647878,2.594114,2.634437,0.284883,344000,A1,New
23/09/1994,2.647878,2.715083,2.647878,2.688201,0.290697,233300,A1,New
26/09/1994,2.688201,2.701643,2.661319,2.688201,0.290697,436000,A1,New
27/09/1994,2.688201,2.715083,2.688201,2.688201,0.290697,116200,A1,New
28/09/1994,2.701643,2.715083,2.67476,2.688201,0.290697,147800,A1,New
29/09/1994,2.688201,2.688201,2.661319,2.67476,0.289243,132900,A1,New
30/09/1994,2.661319,2.67476,2.647878,2.67476,0.289243,317000,A1,New
03/10/1994,2.594114,2.647878,2.567232,2.634437,0.310592,8609700,A1,New
04/10/1994,2.607555,2.607555,2.594114,2.607555,0.307423,246400,A1,New
