Date,Open,High,Low,Close,Adj Close,Volume,Rate,Action
06/12/1996,11.375,11.583333,11.208333,11.5,8.975006,632700,Ba1,New
09/12/1996,11.458333,11.541667,11.458333,11.5,8.975006,247500,Ba1,New
10/12/1996,11.583333,11.708333,11.5,11.625,9.072565,342600,Ba1,New
11/12/1996,11.458333,11.458333,11.25,11.333333,8.844937,372600,Ba1,New
12/12/1996,11.416667,11.458333,11.291667,11.375,8.877457,286500,Ba1,New
13/12/1996,11.375,11.666667,11.375,11.583333,9.040045,687900,Ba1,New
16/12/1996,11.666667,11.833333,11.625,11.75,9.170117,282900,Ba1,New
17/12/1996,11.75,11.75,11.541667,11.541667,9.007525,367200,Ba1,New
18/12/1996,11.541667,11.583333,11.5,11.541667,9.007525,247800,Ba1,New
19/12/1996,11.583333,11.666667,11.5,11.666667,9.10508,236400,Ba1,New
20/12/1996,11.75,11.75,11.625,11.75,9.170117,490200,Ba1,New
23/12/1996,11.833333,12.166667,11.791667,11.916667,9.300196,266400,Ba1,New
24/12/1996,12,12,11.833333,12,9.365228,163800,Ba1,New
26/12/1996,12,12.208333,11.958333,12.083333,9.430264,292200,Ba1,New
27/12/1996,12.083333,12.125,11.958333,12,9.365228,91500,Ba1,New
30/12/1996,12.041667,12.125,11.958333,12.083333,9.430264,168300,Ba1,New
31/12/1996,12,12.083333,11.958333,12,9.365228,330000,Ba1,New
02/01/1997,12,12,11.333333,11.416667,8.909969,591000,Ba1,New
03/01/1997,11.458333,11.541667,11.416667,11.5,8.975006,651000,Ba1,New
06/01/1997,11.541667,11.541667,11.375,11.458333,8.942491,247200,Ba1,New
07/01/1997,11.416667,11.583333,11.291667,11.333333,8.844937,476400,Ba1,New
08/01/1997,11.541667,11.541667,11.375,11.5,8.975006,471000,Ba1,New
09/01/1997,11.416667,11.541667,11.333333,11.458333,8.942491,357000,Ba1,New
10/01/1997,11.458333,11.625,11.333333,11.625,9.072565,613500,Ba1,New
13/01/1997,11.625,11.708333,11.5,11.541667,9.007525,647100,Ba1,New
14/01/1997,11.583333,11.583333,11.458333,11.541667,9.007525,715500,Ba1,New
15/01/1997,11.5,11.5,11.166667,11.25,8.779897,607200,Ba1,New
16/01/1997,11.333333,11.333333,11.083333,11.083333,8.649826,491100,Ba1,New
17/01/1997,11.166667,11.166667,11,11.166667,8.714861,1628700,Ba1,New
20/01/1997,12.458333,13.125,12.333333,12.791667,9.983075,5639400,Ba1,New
21/01/1997,12.75,13.541667,12.75,13,10.145657,3656400,Ba1,New
22/01/1997,12.916667,13.416667,12.791667,13.291667,10.373291,1346400,Ba1,New
23/01/1997,13.291667,13.958333,13.208333,13.625,10.633433,1133700,Ba1,New
24/01/1997,13.541667,13.75,13.541667,13.666667,10.665948,1085700,Ba1,New
27/01/1997,13.583333,13.583333,13.291667,13.416667,10.470847,898800,Ba1,New
28/01/1997,13.416667,13.75,13.416667,13.541667,10.568399,823500,Ba1,New
29/01/1997,13.458333,13.458333,13,13,10.145657,646800,Ba1,New
30/01/1997,13.083333,13.208333,12.958333,13.208333,10.308251,465000,Ba1,New
31/01/1997,13.25,13.375,13.25,13.333333,10.469296,673500,Ba1,New
03/02/1997,13.333333,13.375,13.291667,13.333333,10.469296,498300,Ba1,New
04/02/1997,13.291667,13.375,13.291667,13.333333,10.469296,285000,Ba1,New
05/02/1997,13.291667,13.625,13.291667,13.5,10.600164,936300,Ba1,New
06/02/1997,13.5,13.708333,13.5,13.583333,10.665601,369000,Ba1,New
07/02/1997,13.583333,13.791667,13.583333,13.708333,10.763747,384900,Ba1,New
10/02/1997,13.75,13.833333,13.75,13.791667,10.829176,115500,Ba1,New
11/02/1997,13.833333,13.916667,13.791667,13.916667,10.927331,273300,Ba1,New
12/02/1997,13.833333,14.083333,13.833333,14.041667,11.025476,291600,Ba1,New
13/02/1997,14,14.166667,13.875,14.083333,11.058191,430800,Ba1,New
14/02/1997,14.041667,14.625,14,14.541667,11.418077,776700,Ba1,New
18/02/1997,14.708333,14.791667,14.416667,14.416667,11.319924,447000,Ba1,New
19/02/1997,14.416667,14.416667,14.208333,14.208333,11.156345,506400,Ba1,New
20/02/1997,14.083333,14.125,13.416667,13.416667,10.534728,495900,Ba1,New
21/02/1997,13.416667,13.625,13.333333,13.625,10.698311,868500,Ba1,New
24/02/1997,13.625,13.791667,13.541667,13.75,10.79646,258000,Ba1,New
25/02/1997,13.708333,13.75,13.541667,13.583333,10.665601,300900,Ba1,New
26/02/1997,13.666667,13.666667,13.458333,13.541667,10.632883,2254800,Ba1,New
27/02/1997,13.541667,13.583333,13.375,13.416667,10.534728,320700,Ba1,New
