Date,Open,High,Low,Close,Adj Close,Volume,Rate,Action
26/12/1985,24.692499,24.848125,24.588751,24.848125,18.121641,68800,Aaa,New
27/12/1985,24.796249,24.848125,24.744375,24.796249,18.083815,87600,Aaa,New
30/12/1985,24.744375,24.796249,24.588751,24.796249,18.083815,219400,Aaa,New
31/12/1985,24.796249,24.9,24.692499,24.9,18.159487,171700,Aaa,New
02/01/1986,24.9,25.00375,24.744375,24.951876,18.197321,221400,Aaa,New
03/01/1986,25.00375,25.366875,25.00375,25.263124,18.424311,748500,Aaa,New
06/01/1986,25.315001,25.418751,24.951876,25.315001,18.462139,197200,Aaa,New
07/01/1986,25.418751,26.508125,25.418751,26.352501,19.218777,488400,Aaa,New
08/01/1986,26.456249,26.611876,25.9375,25.9375,18.916124,211800,Aaa,New
09/01/1986,25.9375,26.04125,25.470625,25.626249,18.689125,152000,Aaa,New
10/01/1986,25.418751,25.522499,25.315001,25.366875,18.499969,96800,Aaa,New
13/01/1986,25.366875,25.470625,25.21125,25.315001,18.462139,296200,Aaa,New
14/01/1986,25.418751,25.522499,25.263124,25.315001,18.462139,249800,Aaa,New
15/01/1986,25.418751,25.989374,25.418751,25.781876,18.802628,310800,Aaa,New
16/01/1986,25.885626,26.248751,25.885626,26.248751,19.143124,246900,Aaa,New
17/01/1986,26.196875,26.611876,26.093124,26.404375,19.256609,176500,Aaa,New
20/01/1986,26.456249,27.078751,26.196875,27.078751,19.748442,428600,Aaa,New
21/01/1986,27.182501,27.49375,26.559999,26.7675,19.521435,485000,Aaa,New
22/01/1986,26.819374,26.975,26.715626,26.7675,19.521435,266400,Aaa,New
23/01/1986,26.66375,26.819374,26.611876,26.7675,19.521435,532400,Aaa,New
24/01/1986,26.7675,27.234375,26.66375,27.182501,19.824095,234300,Aaa,New
27/01/1986,27.234375,27.49375,27.182501,27.234375,19.861933,155100,Aaa,New
28/01/1986,27.182501,27.49375,27.182501,27.338125,19.937593,269500,Aaa,New
29/01/1986,27.338125,27.805,27.286249,27.805,20.278082,521400,Aaa,New
30/01/1986,27.805,27.805,27.49375,27.49375,20.05109,152200,Aaa,New
31/01/1986,27.389999,27.5975,27.286249,27.338125,19.937593,200100,Aaa,New
03/02/1986,27.338125,27.49375,27.286249,27.49375,20.05109,446100,Aaa,New
04/02/1986,27.49375,28.116249,27.49375,27.908751,20.353746,339400,Aaa,New
05/02/1986,27.856874,28.219999,27.753124,28.219999,20.580742,278200,Aaa,New
06/02/1986,28.4275,30.19125,28.4275,29.776251,21.71571,1127400,Aaa,New
07/02/1986,29.56875,31.02125,29.413124,30.709999,22.39669,788600,Aaa,New
10/02/1986,30.606251,30.709999,29.879999,30.346874,22.131868,532200,Aaa,New
11/02/1986,30.39875,31.02125,30.39875,30.9175,22.548025,660000,Aaa,New
12/02/1986,31.22875,32.162498,31.073126,32.006874,23.342501,499900,Aaa,New
13/02/1986,32.110626,32.681252,31.955,32.369999,23.607325,678900,Aaa,New
14/02/1986,32.266251,32.369999,32.110626,32.214375,23.493818,212000,Aaa,New
18/02/1986,31.799376,32.162498,31.747499,32.110626,23.418163,486700,Aaa,New
19/02/1986,31.955,32.05875,31.540001,31.85125,23.228998,184800,Aaa,New
20/02/1986,31.643749,31.643749,31.125,31.591875,23.039846,249300,Aaa,New
21/02/1986,31.695625,31.85125,31.591875,31.747499,23.153326,131700,Aaa,New
24/02/1986,31.747499,31.85125,31.540001,31.695625,23.115507,240200,Aaa,New
25/02/1986,31.799376,31.799376,31.125,31.280624,22.812851,190800,Aaa,New
26/02/1986,31.176874,31.22875,30.9175,30.9175,22.548025,135300,Aaa,New
27/02/1986,31.02125,31.02125,30.502501,30.9175,22.548025,192900,Aaa,New
28/02/1986,31.073126,32.05875,31.02125,31.955,23.304659,459700,Aaa,New
03/03/1986,31.955,31.955,31.591875,31.955,23.304659,154400,Aaa,New
04/03/1986,31.85125,31.903126,31.540001,31.540001,23.002008,145900,Aaa,New
05/03/1986,31.540001,31.591875,31.125,31.22875,22.775021,285700,Aaa,New
06/03/1986,31.22875,32.006874,31.22875,31.540001,23.002008,271000,Aaa,New
