Date,Open,High,Low,Close,Adj Close,Volume,Rate,Action
14/08/2003,29.85,29.9,29.6,29.799999,22.309818,116200,A3,New
15/08/2003,29.559999,29.85,29.34,29.469999,22.062761,34900,A3,New
18/08/2003,29.719999,30,29.700001,30,22.459551,94100,A3,New
19/08/2003,29.950001,30.219999,29.91,30.190001,22.601789,105400,A3,New
20/08/2003,30.24,30.35,30,30.35,22.721577,128100,A3,New
21/08/2003,30.389999,30.940001,30.290001,30.940001,23.163279,107600,A3,New
22/08/2003,30.9,30.9,30.17,30.299999,22.684143,166500,A3,New
25/08/2003,30.299999,30.299999,29.9,30.049999,22.496981,100000,A3,New
26/08/2003,30.1,30.219999,29.66,30.09,22.526924,117900,A3,New
27/08/2003,30.15,30.15,29.879999,29.889999,22.377201,44100,A3,New
28/08/2003,29.99,30.16,29.950001,30.15,22.571848,116900,A3,New
29/08/2003,30.049999,30.5,30.049999,30.5,22.833876,78600,A3,New
02/09/2003,30.549999,30.83,30.360001,30.83,23.080927,101200,A3,New
03/09/2003,30.75,30.98,30.690001,30.879999,23.118361,76100,A3,New
04/09/2003,30.9,31.200001,30.790001,30.959999,23.178259,86800,A3,New
05/09/2003,31.15,31.15,30.74,30.950001,23.170765,73100,A3,New
08/09/2003,30.93,30.93,30.67,30.83,23.080927,81200,A3,New
09/09/2003,30.719999,30.83,30.459999,30.610001,22.916229,37300,A3,New
10/09/2003,30.549999,30.549999,30.040001,30.08,22.519445,49600,A3,New
11/09/2003,30.139999,30.24,29.950001,30.200001,22.609278,38600,A3,New
12/09/2003,30.290001,30.549999,30.16,30.459999,22.803923,31700,A3,New
15/09/2003,30.450001,30.73,30.450001,30.59,22.901258,38800,A3,New
16/09/2003,30.65,30.950001,30.549999,30.870001,23.110872,32300,A3,New
17/09/2003,30.93,30.98,30.76,30.76,23.028519,35200,A3,New
18/09/2003,30.75,31.34,30.700001,31.25,23.395361,66600,A3,New
19/09/2003,31.32,31.450001,31.040001,31.049999,23.24563,95900,A3,New
22/09/2003,31.01,31.01,30.389999,30.49,22.826384,65000,A3,New
23/09/2003,30.389999,30.85,30.389999,30.540001,22.863823,56500,A3,New
24/09/2003,30.4,30.68,30.299999,30.4,22.901484,47000,A3,New
25/09/2003,30.41,30.51,30.040001,30.120001,22.69055,60900,A3,New
26/09/2003,30.049999,30.129999,29.75,29.75,22.411814,76200,A3,New
29/09/2003,29.74,30.030001,29.65,29.860001,22.494682,42000,A3,New
30/09/2003,29.950001,30.15,29.709999,29.709999,22.38168,107800,A3,New
01/10/2003,29.709999,30.049999,29.690001,29.99,22.592621,67500,A3,New
02/10/2003,30.01,30.059999,29.610001,30.059999,22.645351,43200,A3,New
03/10/2003,30.09,30.129999,29.860001,30.059999,22.645351,107900,A3,New
06/10/2003,30.059999,30.780001,30.059999,30.780001,23.187756,89400,A3,New
07/10/2003,30.790001,31.120001,30.690001,31.040001,23.383619,74500,A3,New
08/10/2003,31.049999,31.139999,30.91,31,23.353493,88800,A3,New
09/10/2003,30.959999,31.299999,30.76,31.040001,23.383619,78800,A3,New
10/10/2003,31.08,31.200001,30.84,30.969999,23.330887,68300,A3,New
13/10/2003,31.059999,31.26,31.02,31.25,23.541824,42200,A3,New
14/10/2003,31.26,31.48,31.25,31.469999,23.707558,14400,A3,New
15/10/2003,31.469999,31.5,31.23,31.5,23.730156,28600,A3,New
16/10/2003,31.43,31.49,31.200001,31.48,23.715088,28500,A3,New
17/10/2003,31.5,31.629999,30.870001,31.26,23.549356,47500,A3,New
20/10/2003,31.280001,31.299999,30.85,31.15,23.466486,37700,A3,New
21/10/2003,31.16,31.549999,30.83,31.01,23.361021,53000,A3,New
22/10/2003,30.809999,31.26,30.559999,30.6,23.052158,55700,A3,New
23/10/2003,30.51,30.51,30,30.290001,22.818621,89800,A3,New
24/10/2003,30.309999,30.32,29.860001,30.209999,22.758354,47500,A3,New
27/10/2003,30.15,30.860001,30.08,30.65,23.089821,76700,A3,New
28/10/2003,30.790001,30.790001,30.58,30.73,23.150084,23300,A3,New
29/10/2003,30.58,30.790001,30.57,30.639999,23.082285,54100,A3,New
30/10/2003,30.549999,30.77,30.549999,30.6,23.052158,22100,A3,New
31/10/2003,30.610001,30.91,30.469999,30.719999,23.14255,137900,A3,New
03/11/2003,30.959999,31.690001,30.85,31.690001,23.873299,108600,A3,New
04/11/2003,31.629999,32.16,31.51,32,24.106821,89100,A3,New
05/11/2003,31.950001,31.950001,31.450001,31.709999,23.888351,80800,A3,New
06/11/2003,31.709999,32.080002,31.57,32.07,24.159573,60400,A3,New
07/11/2003,31.959999,32.189999,31.91,32.009998,24.114355,75900,A3,New
10/11/2003,31.91,31.91,31.379999,31.530001,23.752762,77700,A3,New
11/11/2003,31.58,31.58,31.24,31.370001,23.632227,22300,A3,New
12/11/2003,31.25,31.690001,31.25,31.690001,23.873299,73200,A3,New
13/11/2003,31.700001,31.879999,31.5,31.83,23.97876,28200,A3,New
14/11/2003,31.940001,31.940001,31.5,31.5,23.730156,34400,A3,New
17/11/2003,31.49,31.5,30.75,31.5,23.730156,174600,A3,New
18/11/2003,31.27,31.34,30.809999,30.82,23.21789,65200,A3,New
19/11/2003,30.799999,31.200001,30.719999,31.190001,23.496628,49800,A3,New
20/11/2003,31.190001,31.25,30.74,31.24,23.534298,82100,A3,New
21/11/2003,31.17,31.34,31.059999,31.34,23.609629,61600,A3,New
24/11/2003,31.33,31.65,31.280001,31.65,23.843161,42400,A3,New
25/11/2003,31.65,32.009998,31.5,32.009998,24.114355,59200,A3,New
26/11/2003,32.02,32.48,31.57,32.470001,24.460897,53000,A3,New
28/11/2003,32.290001,32.419998,32.049999,32.220001,24.272558,25900,A3,New
01/12/2003,32.32,32.799999,32.209999,32.41,24.415686,45200,A3,New
02/12/2003,32.470001,32.790001,32.299999,32.57,24.536236,26200,A3,New
03/12/2003,32.310001,32.59,31.969999,32,24.106821,72100,A3,New
04/12/2003,32,32.099998,31.85,31.969999,24.084225,31600,A3,New
05/12/2003,31.9,32.099998,31.700001,31.77,23.93355,24200,A3,New
08/12/2003,31.82,32.099998,31.82,32.099998,24.182169,15400,A3,New
09/12/2003,31.84,32.369999,31.5,31.5,23.730156,23500,A3,New
10/12/2003,31.629999,31.77,31.290001,31.34,23.609629,63800,A3,New
11/12/2003,31.82,31.969999,31.700001,31.84,23.986292,28800,A3,New
12/12/2003,31.75,32.150002,31.68,32.110001,24.189693,69900,A3,New
15/12/2003,32.200001,32.380001,31.540001,31.58,23.790424,103000,A3,New
16/12/2003,31.67,31.799999,30.92,30.959999,23.32336,79600,A3,New
17/12/2003,31.450001,31.629999,31.040001,31.6,23.805494,62000,A3,New
18/12/2003,31.5,31.93,31.35,31.93,24.054092,95400,A3,New
19/12/2003,31.799999,32.02,31.629999,31.969999,24.084225,66700,A3,New
22/12/2003,31.85,32.049999,31.809999,32.049999,24.144491,22900,A3,New
23/12/2003,32,32.34,31.67,32.34,24.531355,49100,A3,New
24/12/2003,32.099998,32.220001,31.860001,31.860001,24.167252,12600,A3,New
26/12/2003,31.77,31.82,31.700001,31.75,24.083817,12500,A3,New
29/12/2003,31.68,32,31.68,32,24.273443,44300,A3,New
30/12/2003,32.150002,32.450001,31.99,32.450001,24.614796,38300,A3,New
31/12/2003,32.5,32.529999,32.380001,32.43,24.599625,57900,A3,New
02/01/2004,32.400002,32.5,32.400002,32.400002,24.576864,49900,A3,New
05/01/2004,32.610001,32.619999,32.360001,32.41,24.584444,37200,A3,New
06/01/2004,32.400002,32.43,31.6,31.610001,23.977613,73200,A3,New
07/01/2004,31.610001,32,31.4,31.66,24.015535,69000,A3,New
08/01/2004,31.51,31.700001,31.35,31.700001,24.045879,30100,A3,New
09/01/2004,31.59,31.870001,31.379999,31.379999,23.803156,31400,A3,New
12/01/2004,31.370001,31.469999,31.24,31.389999,23.810732,53100,A3,New
13/01/2004,31.389999,31.969999,31.129999,31.969999,24.250689,57600,A3,New
14/01/2004,31.639999,31.959999,31.450001,31.93,24.220345,38100,A3,New
15/01/2004,31.790001,32.32,31.790001,32.139999,24.379652,54800,A3,New
16/01/2004,32.150002,32.41,31.98,32.32,24.51618,68600,A3,New
20/01/2004,32.470001,32.470001,31.959999,32.099998,24.349308,74200,A3,New
21/01/2004,32.32,33.200001,32.310001,32.950001,24.994062,117500,A3,New
22/01/2004,33,33,32.790001,32.849998,24.918209,50300,A3,New
23/01/2004,32.75,33.060001,32.299999,33.040001,25.062332,69400,A3,New
26/01/2004,33.049999,33.5,32.869999,33.490002,25.403675,134100,A3,New
27/01/2004,33.5,33.75,32.900002,32.900002,24.956139,140000,A3,New
28/01/2004,32.950001,33.41,32.889999,33.02,25.047167,70700,A3,New
29/01/2004,33.119999,33.119999,32.889999,33.099998,25.107845,64300,A3,New
30/01/2004,32.990002,33.049999,32.77,33.049999,25.069916,96800,A3,New
02/02/2004,33.049999,33.049999,32.650002,32.919998,24.97131,69900,A3,New
03/02/2004,32.849998,32.950001,32.66,32.77,24.857523,54900,A3,New
04/02/2004,32.59,32.68,31.82,31.82,24.136906,86900,A3,New
05/02/2004,31.83,32.200001,31.83,32.130001,24.372061,86200,A3,New
06/02/2004,31.959999,32.360001,31.959999,32.360001,24.546526,84200,A3,New
09/02/2004,32.27,32.299999,32.07,32.299999,24.501009,75500,A3,New
10/02/2004,32.299999,32.900002,32.16,32.900002,24.956139,76200,A3,New
11/02/2004,32.799999,33.060001,32.59,33.060001,25.077507,54100,A3,New
12/02/2004,32.900002,32.950001,31.950001,31.950001,24.235525,76900,A3,New
13/02/2004,31.93,32.32,31.68,31.940001,24.227942,65100,A3,New
17/02/2004,31.65,32.700001,31.65,32.700001,24.804424,59400,A3,New
18/02/2004,32.549999,32.73,32.549999,32.549999,24.690643,62600,A3,New
19/02/2004,32.139999,32.799999,32.130001,32.709999,24.812012,111300,A3,New
20/02/2004,32.650002,33,32.650002,32.869999,24.933374,123000,A3,New
23/02/2004,33,33,32.639999,32.849998,24.918209,111700,A3,New
24/02/2004,32.810001,32.830002,32.599998,32.759998,24.849943,131200,A3,New
25/02/2004,32.75,33.18,32.599998,33.18,25.168526,97500,A3,New
26/02/2004,33,33.5,33,33.490002,25.403675,80000,A3,New
27/02/2004,33.400002,33.799999,33.200001,33.599998,25.487112,65700,A3,New
01/03/2004,33.610001,33.939999,33.560001,33.790001,25.631245,55500,A3,New
02/03/2004,33.700001,33.889999,33.290001,33.299999,25.25956,71000,A3,New
03/03/2004,33.279999,33.68,33.16,33.470001,25.388514,52100,A3,New
04/03/2004,33.279999,33.59,32.68,33.59,25.479527,133400,A3,New
05/03/2004,33.380001,34.040001,33.380001,34.040001,25.820875,77600,A3,New
08/03/2004,34,34.240002,33.75,34.240002,25.972588,86600,A3,New
09/03/2004,34.139999,34.220001,33.990002,34.060001,25.836046,96700,A3,New
10/03/2004,34.220001,34.279999,33.900002,33.900002,25.714684,74800,A3,New
11/03/2004,33.900002,34.150002,33.810001,33.900002,25.714684,196200,A3,New
12/03/2004,33.810001,34.290001,33.34,34.029999,25.813288,43200,A3,New
15/03/2004,34.009998,34.009998,33.380001,33.59,25.479527,40100,A3,New
16/03/2004,33.389999,33.599998,33.389999,33.599998,25.487112,97300,A3,New
17/03/2004,33.599998,33.900002,33.450001,33.869999,25.691931,65800,A3,New
18/03/2004,33.709999,33.990002,33.490002,33.509998,25.41885,127400,A3,New
19/03/2004,33.75,33.75,33.490002,33.540001,25.441607,105100,A3,New
22/03/2004,33.400002,33.650002,33.400002,33.549999,25.449186,106300,A3,New
23/03/2004,33.34,33.650002,33.34,33.580002,25.471949,57700,A3,New
24/03/2004,33.5,33.610001,33.209999,33.34,25.456671,114700,A3,New
25/03/2004,33.400002,33.75,33.299999,33.75,25.769728,50900,A3,New
26/03/2004,33.91,34.240002,33.52,33.52,25.594122,91500,A3,New
29/03/2004,33.599998,33.799999,33.52,33.759998,25.777361,87800,A3,New
30/03/2004,33.880001,33.880001,33.580002,33.779999,25.792637,65200,A3,New
31/03/2004,33.880001,34.220001,33.700001,34.220001,26.128601,91700,A3,New
01/04/2004,34.029999,34.290001,33.779999,34.25,26.151505,53800,A3,New
02/04/2004,34.360001,34.57,34.200001,34.459999,26.311844,70500,A3,New
05/04/2004,34.509998,34.650002,34.049999,34.650002,26.456921,88700,A3,New
06/04/2004,34.650002,34.650002,34.27,34.299999,26.189684,42200,A3,New
07/04/2004,34.16,34.450001,34.150002,34.290001,26.182043,66500,A3,New
08/04/2004,34.450001,34.450001,34,34.029999,25.983519,55900,A3,New
12/04/2004,34.040001,34.439999,33.93,34.419998,26.281311,61500,A3,New
13/04/2004,34.369999,34.41,33.700001,33.720001,25.746832,105600,A3,New
14/04/2004,33.650002,33.759998,33.439999,33.5,25.578852,285900,A3,New
15/04/2004,33.650002,33.650002,33.279999,33.43,25.525396,157000,A3,New
16/04/2004,33.400002,33.830002,33.400002,33.700001,25.731552,178100,A3,New
19/04/2004,33.860001,33.869999,33.619999,33.849998,25.846088,72900,A3,New
20/04/2004,33.849998,34,33.599998,33.779999,25.792637,260400,A3,New
21/04/2004,33.860001,33.860001,33.25,33.450001,25.540665,72600,A3,New
22/04/2004,33.330002,34.540001,33.330002,34.43,26.288944,104000,A3,New
23/04/2004,34.43,34.439999,33.919998,34.25,26.151505,44500,A3,New
26/04/2004,34.220001,34.490002,34.02,34.099998,26.036976,53500,A3,New
27/04/2004,33.939999,34.25,33.439999,33.75,25.769728,296400,A3,New
28/04/2004,33.689999,34.080002,33.619999,33.700001,25.731552,97600,A3,New
29/04/2004,33.68,33.93,33.360001,33.450001,25.540665,75600,A3,New
30/04/2004,33.52,33.900002,33.450001,33.77,25.784998,74900,A3,New
03/05/2004,33.68,34.040001,33.68,33.77,25.784998,79100,A3,New
04/05/2004,33.700001,34.049999,33.68,33.869999,25.861361,43100,A3,New
05/05/2004,33.779999,34.5,33.779999,34.450001,26.304211,67600,A3,New
06/05/2004,34.220001,34.439999,33.880001,33.919998,25.89953,78500,A3,New
07/05/2004,33.919998,34.07,33.380001,33.380001,25.487211,50200,A3,New
10/05/2004,33.32,33.32,32.849998,32.880001,25.105446,36900,A3,New
11/05/2004,32.849998,33.049999,32.700001,32.84,25.074898,58600,A3,New
12/05/2004,32.860001,33.189999,32.330002,33.130001,25.296331,48200,A3,New
13/05/2004,33,33.279999,33,33.049999,25.235243,28100,A3,New
14/05/2004,33.099998,33.150002,32.740002,33.150002,25.311607,28000,A3,New
17/05/2004,32.91,32.91,32.470001,32.57,24.868746,64600,A3,New
18/05/2004,32.689999,32.790001,32.490002,32.790001,25.03673,101200,A3,New
19/05/2004,32.82,33.18,32.580002,32.619999,24.906916,67500,A3,New
20/05/2004,32.740002,33,32.5,32.869999,25.097799,54300,A3,New
21/05/2004,32.720001,33.040001,32.709999,33.040001,25.227615,56700,A3,New
24/05/2004,33.049999,33.139999,32.810001,33.009998,25.2047,62000,A3,New
25/05/2004,33.169998,33.669998,32.830002,33.650002,25.693371,84300,A3,New
26/05/2004,33.639999,34.41,33.529999,34.400002,26.266039,55200,A3,New
27/05/2004,34.549999,34.549999,33.869999,34.110001,26.044607,51900,A3,New
28/05/2004,34.049999,34.25,33.98,34.25,26.151505,91300,A3,New
01/06/2004,33.869999,34.150002,33.549999,33.630001,25.678097,83200,A3,New
02/06/2004,33.599998,34.189999,33.599998,34.189999,26.105688,57300,A3,New
03/06/2004,34.25,34.259998,33.439999,33.5,25.578852,89300,A3,New
04/06/2004,33.5,34.169998,33.5,34.040001,25.991159,47200,A3,New
07/06/2004,34,34.549999,33.990002,34.459999,26.311844,69900,A3,New
08/06/2004,34.5,34.560001,34.259998,34.5,26.34239,60300,A3,New
09/06/2004,34.490002,34.5,34.23,34.389999,26.2584,81800,A3,New
10/06/2004,34.389999,34.470001,34,34.18,26.098063,111800,A3,New
14/06/2004,34.18,34.860001,34.169998,34.619999,26.434017,256600,A3,New
15/06/2004,34.82,34.990002,34.540001,34.759998,26.540918,128100,A3,New
16/06/2004,34.91,35.75,34.84,35.509998,27.113567,112400,A3,New
17/06/2004,34.650002,35.5,34.360001,35.290001,26.94558,161200,A3,New
18/06/2004,35.259998,35.400002,34.970001,35.040001,26.754704,160400,A3,New
21/06/2004,35.27,35.59,34.919998,35.299999,26.953239,124100,A3,New
22/06/2004,35.290001,35.490002,35.09,35.450001,27.067759,219700,A3,New
23/06/2004,35.150002,35.639999,35.080002,35.580002,27.336666,135300,A3,New
24/06/2004,35.439999,36.029999,35.439999,35.709999,27.436554,146700,A3,New
25/06/2004,35.540001,35.830002,34,35.380001,27.183016,1359500,A3,New
28/06/2004,35.689999,35.720001,34.669998,34.709999,26.668234,303100,A3,New
29/06/2004,34.830002,35.23,34.700001,35.150002,27.006298,175000,A3,New
30/06/2004,35.220001,35.349998,34.950001,35.209999,27.052393,104200,A3,New
01/07/2004,35.099998,35.240002,34.5,34.5,26.506889,82300,A3,New
02/07/2004,34.650002,34.860001,34.529999,34.84,26.768122,44800,A3,New
06/07/2004,34.970001,34.970001,34.200001,34.419998,26.445427,109100,A3,New
07/07/2004,34.32,34.869999,34.32,34.34,26.383965,58500,A3,New
08/07/2004,34.139999,34.869999,33.990002,34.099998,26.199572,95300,A3,New
09/07/2004,34.220001,34.490002,34.009998,34.080002,26.184196,54000,A3,New
12/07/2004,33.98,34.599998,33.93,34.310001,26.36091,139900,A3,New
13/07/2004,34.09,34.540001,34.09,34.380001,26.41469,92500,A3,New
14/07/2004,34.290001,34.75,33.889999,34.439999,26.460791,109200,A3,New
15/07/2004,34.490002,34.66,34.130001,34.299999,26.35323,66800,A3,New
16/07/2004,34.34,34.689999,34.09,34.310001,26.36091,71700,A3,New
19/07/2004,33.990002,34.599998,33.990002,34.400002,26.430065,82100,A3,New
20/07/2004,34.709999,35.099998,34.299999,35.099998,26.967884,92100,A3,New
21/07/2004,35.209999,35.209999,34.18,34.18,26.261026,142300,A3,New
22/07/2004,34.16,34.169998,33.560001,33.810001,25.976761,165300,A3,New
23/07/2004,33.959999,33.959999,33.349998,33.369999,25.638689,118600,A3,New
26/07/2004,33.529999,33.529999,32.880001,33.049999,25.39283,199900,A3,New
27/07/2004,33.18,33.790001,33.16,33.709999,25.899921,120400,A3,New
28/07/2004,33.59,33.610001,32.950001,33.25,25.546494,118700,A3,New
29/07/2004,33.25,33.709999,33.110001,33.709999,25.899921,73000,A3,New
30/07/2004,33.540001,33.77,33.25,33.77,25.946016,116600,A3,New
02/08/2004,33.779999,33.799999,33.23,33.700001,25.892242,72300,A3,New
03/08/2004,33.740002,33.740002,33.139999,33.34,25.615639,65200,A3,New
