Date,Open,High,Low,Close,Adj Close,Volume,Rate,Action
16/07/1999,62.125,62.3125,61.625,62.0625,25.404514,231400,A1,On Watch - Possible Upgrade
19/07/1999,63.625,63.6875,61.5,62.1875,25.455683,158200,A1,On Watch - Possible Upgrade
20/07/1999,61.75,61.75,60.75,60.875,24.918421,79400,A1,On Watch - Possible Upgrade
21/07/1999,60.875,61.1875,60.375,61,24.969595,75200,A1,On Watch - Possible Upgrade
22/07/1999,60.9375,61,60.625,60.875,24.918421,33500,A1,On Watch - Possible Upgrade
23/07/1999,58.5,58.5,57.25,57.5625,23.562494,114700,A1,On Watch - Possible Upgrade
26/07/1999,57.3125,58.25,57.25,58,23.741583,46000,A1,On Watch - Possible Upgrade
27/07/1999,59.3125,60.25,59,60.125,24.611422,82400,A1,On Watch - Possible Upgrade
28/07/1999,58.5,59.375,58,58.875,24.099754,93100,A1,On Watch - Possible Upgrade
29/07/1999,58.875,58.875,57.5,57.5,23.536917,65600,A1,On Watch - Possible Upgrade
30/07/1999,60.25,60.25,59.5,60.25,24.662586,82900,A1,On Watch - Possible Upgrade
02/08/1999,60.5,63.3125,60.5,62.625,25.634779,73700,A1,On Watch - Possible Upgrade
03/08/1999,63.25,63.25,62.375,63,25.788269,97300,A1,On Watch - Possible Upgrade
04/08/1999,63.25,64,62.5625,63.875,26.146442,64500,A1,On Watch - Possible Upgrade
05/08/1999,61.3125,61.75,60,61.6875,25.251017,192800,A1,On Watch - Possible Upgrade
06/08/1999,59.8125,60.125,59,59.125,24.202093,110200,A1,On Watch - Possible Upgrade
09/08/1999,58.75,59,58.5625,58.6875,24.023005,52900,A1,On Watch - Possible Upgrade
10/08/1999,57,57.625,56.625,57.625,23.588079,67500,A1,On Watch - Possible Upgrade
11/08/1999,58.25,58.75,57.875,58.75,24.048582,46500,A1,On Watch - Possible Upgrade
12/08/1999,61.125,61.125,60.375,60.4375,24.739349,70200,A1,On Watch - Possible Upgrade
13/08/1999,60,61,60,60.625,24.816092,55200,A1,On Watch - Possible Upgrade
16/08/1999,60.625,60.875,60.25,60.5625,24.79052,53000,A1,On Watch - Possible Upgrade
17/08/1999,61,61,60.5,60.625,24.816092,36800,A1,On Watch - Possible Upgrade
18/08/1999,60.5,60.625,59.625,59.9375,24.837355,36000,A1,On Watch - Possible Upgrade
19/08/1999,61,62.125,61,61.9375,25.666134,69300,A1,On Watch - Possible Upgrade
20/08/1999,62.5,63.375,62.5,63.25,26.210011,52300,A1,On Watch - Possible Upgrade
23/08/1999,63.625,64.875,63.625,63.875,26.469006,105400,A1,On Watch - Possible Upgrade
24/08/1999,63.5,63.6875,62.1875,63.6875,26.391306,119000,A1,On Watch - Possible Upgrade
25/08/1999,63.75,64,61.6875,61.75,25.588427,137700,A1,On Watch - Possible Upgrade
26/08/1999,63.5,63.5,61.875,61.9375,25.666134,89700,A1,On Watch - Possible Upgrade
27/08/1999,62.1875,62.625,61.0625,61.125,25.329449,88100,A1,On Watch - Possible Upgrade
30/08/1999,62.5,62.8125,61.875,61.9375,25.666134,97400,A1,On Watch - Possible Upgrade
31/08/1999,62.1875,62.5,61.375,62.25,25.79563,51000,A1,On Watch - Possible Upgrade
01/09/1999,61.6875,61.6875,61.1875,61.625,25.53664,81200,A1,On Watch - Possible Upgrade
02/09/1999,60.6875,60.75,60,60.6875,25.148148,41400,A1,On Watch - Possible Upgrade
03/09/1999,61.5,61.75,61.3125,61.75,25.588427,88300,A1,On Watch - Possible Upgrade
07/09/1999,62.25,62.25,61.625,61.75,25.588427,21900,A1,On Watch - Possible Upgrade
08/09/1999,61,61.4375,60.875,61.25,25.381233,25900,A1,On Watch - Possible Upgrade
09/09/1999,62.75,62.75,62.3125,62.625,25.951015,74300,A1,On Watch - Possible Upgrade
10/09/1999,62.75,62.75,62.25,62.75,26.002825,82200,A1,On Watch - Possible Upgrade
13/09/1999,61.625,61.75,61.1875,61.625,25.53664,75400,A1,On Watch - Possible Upgrade
14/09/1999,60.875,60.875,60.4375,60.5625,25.096342,59200,A1,On Watch - Possible Upgrade
15/09/1999,59.1875,59.1875,58,58.75,24.345268,118500,A1,On Watch - Possible Upgrade
16/09/1999,58.5,58.625,58,58.5,24.241665,58400,A1,On Watch - Possible Upgrade
17/09/1999,59.3125,60.25,59.3125,60.125,24.915052,54200,A1,On Watch - Possible Upgrade
20/09/1999,59.5,59.6875,59.0625,59.6875,24.733759,41100,A1,On Watch - Possible Upgrade
21/09/1999,58.8125,58.8125,57.75,57.8125,23.956779,50900,A1,On Watch - Possible Upgrade
22/09/1999,57.875,59,57.875,58.875,24.397066,97000,A1,On Watch - Possible Upgrade
23/09/1999,58.75,58.75,57.5,57.5625,23.853189,33700,A1,On Watch - Possible Upgrade
24/09/1999,58.625,58.75,57.8125,58,24.034485,44700,A1,On Watch - Possible Upgrade
27/09/1999,59.75,60.375,59.6875,59.75,24.759663,66700,A1,On Watch - Possible Upgrade
28/09/1999,58.625,58.75,57.75,57.9375,24.008583,86900,A1,On Watch - Possible Upgrade
29/09/1999,56.8125,57.5625,56.8125,57.125,23.671886,79600,A1,On Watch - Possible Upgrade
30/09/1999,57.375,58.0625,57.375,58.0625,24.060369,58400,A1,On Watch - Possible Upgrade
01/10/1999,58.0625,58.0625,57.1875,57.8125,23.956779,28500,A1,On Watch - Possible Upgrade
04/10/1999,58.25,59.375,58.25,59.1875,24.526562,55300,A1,On Watch - Possible Upgrade
05/10/1999,58.25,58.8125,58,58.0625,24.060369,61400,A1,On Watch - Possible Upgrade
06/10/1999,58.875,59.5,58.8125,59.125,24.500666,30400,A1,On Watch - Possible Upgrade
07/10/1999,59.375,59.4375,58.25,58.5,24.241665,308700,A1,On Watch - Possible Upgrade
08/10/1999,58.5,58.9375,58.125,58.8125,24.371168,32500,A1,On Watch - Possible Upgrade
11/10/1999,58.25,58.375,57.6875,58.125,24.086281,34200,A1,On Watch - Possible Upgrade
12/10/1999,58,58,56.0625,57.125,23.671886,94700,A1,On Watch - Possible Upgrade
13/10/1999,56.0625,56.0625,54.6875,55.25,22.894909,159300,A1,On Watch - Possible Upgrade
14/10/1999,55.5625,56.625,55.125,56.625,23.464695,81900,A1,On Watch - Possible Upgrade
15/10/1999,54,54.5,53.125,53.9375,22.35103,124700,A1,On Watch - Possible Upgrade
18/10/1999,53.5,53.8125,53.25,53.8125,22.299231,20900,A1,On Watch - Possible Upgrade
19/10/1999,55.125,55.625,54.75,54.9375,22.765415,28800,A1,On Watch - Possible Upgrade
20/10/1999,55.375,56.5,55.375,56.5,23.412899,61900,A1,On Watch - Possible Upgrade
21/10/1999,53.75,54.75,53.75,54.75,22.687712,84100,A1,On Watch - Possible Upgrade
22/10/1999,57.375,57.8125,57.125,57.4375,23.801394,43300,A1,On Watch - Possible Upgrade
25/10/1999,56.8125,57.6875,56.8125,57.5625,23.853189,97400,A1,On Watch - Possible Upgrade
26/10/1999,57.5625,58,57.375,57.5,23.827286,79700,A1,On Watch - Possible Upgrade
27/10/1999,57.125,58,56.875,57.9375,24.008583,35000,A1,On Watch - Possible Upgrade
28/10/1999,59.5625,60.75,58.4375,59.125,24.500666,542500,A1,On Watch - Possible Upgrade
29/10/1999,61,61.75,61,61.5625,25.510731,179400,A1,On Watch - Possible Upgrade
01/11/1999,61,61,60.5625,60.75,25.174034,60100,A1,On Watch - Possible Upgrade
02/11/1999,60.8125,60.875,60.4375,60.5,25.070454,34800,A1,On Watch - Possible Upgrade
03/11/1999,60.875,61.125,60.25,60.875,25.225842,56400,A1,On Watch - Possible Upgrade
04/11/1999,61.9375,62.5,61.5,61.875,25.64024,95000,A1,On Watch - Possible Upgrade
