Date,Open,High,Low,Close,Adj Close,Volume,Rate,Action
20/06/1995,27.125,27.25,26.625,26.875,13.202103,338100,A2,New
21/06/1995,27,27,26.625,26.75,13.140702,227800,A2,New
22/06/1995,26.75,27.25,26.625,27.25,13.386319,374200,A2,New
23/06/1995,27,27.125,26.5,26.625,13.079298,471500,A2,New
26/06/1995,26.75,26.875,26.625,26.75,13.140702,218400,A2,New
27/06/1995,26.75,26.875,26.625,26.625,13.079298,217100,A2,New
28/06/1995,26.625,26.75,26.5,26.625,13.079298,457100,A2,New
29/06/1995,26.375,26.625,26.375,26.625,13.079298,352900,A2,New
30/06/1995,26.625,26.75,26.375,26.375,12.956485,312500,A2,New
03/07/1995,26.5,26.5,26.375,26.375,12.956485,50200,A2,New
05/07/1995,26.5,26.625,26.375,26.5,13.01789,227600,A2,New
06/07/1995,26.625,27,26.375,26.875,13.202103,228500,A2,New
07/07/1995,26.875,27.125,26.75,26.875,13.202103,383500,A2,New
10/07/1995,25.875,25.875,25,25.125,12.505292,3211000,A2,New
11/07/1995,25.125,25.125,24.625,24.75,12.318652,3063900,A2,CONFIRMED
12/07/1995,24.75,25.75,24.625,24.875,12.380863,2429500,A2,CONFIRMED
13/07/1995,24.625,24.875,24.5,24.875,12.557552,1467100,A2,CONFIRMED
14/07/1995,24.875,24.875,24.125,24.375,12.305143,1798300,A2,CONFIRMED
17/07/1995,24.375,24.5,24.25,24.5,12.368242,1734500,A2,CONFIRMED
18/07/1995,24.5,24.5,24.25,24.5,12.368242,1105400,A2,CONFIRMED
19/07/1995,24.5,24.5,23.625,24.125,12.17893,960300,A2,CONFIRMED
20/07/1995,24,24.125,23.875,24,12.11583,524000,A2,CONFIRMED
21/07/1995,24.125,24.375,24,24.375,12.305143,1845200,A2,CONFIRMED
24/07/1995,24.375,24.5,24.375,24.5,12.368242,1012700,A2,CONFIRMED
25/07/1995,24.5,24.75,24.375,24.625,12.431345,1069900,A2,CONFIRMED
26/07/1995,24.625,24.75,24.5,24.75,12.494452,794600,A2,CONFIRMED
27/07/1995,24.75,24.75,24.625,24.625,12.431345,838700,A2,CONFIRMED
28/07/1995,24.75,24.75,24.5,24.625,12.431345,847700,A2,CONFIRMED
31/07/1995,24.625,24.75,24.5,24.75,12.494452,580700,A2,CONFIRMED
01/08/1995,24.75,24.75,24.5,24.75,12.494452,1135400,A2,CONFIRMED
02/08/1995,24.625,24.75,24.5,24.75,12.494452,617200,A2,CONFIRMED
03/08/1995,24.625,24.75,24.5,24.75,12.494452,745900,A2,CONFIRMED
04/08/1995,24.75,24.75,24.5,24.625,12.431345,715000,A2,CONFIRMED
07/08/1995,24.625,25.125,24.625,25,12.620657,2089000,A2,CONFIRMED
08/08/1995,25.125,25.25,25,25,12.620657,750600,A2,CONFIRMED
09/08/1995,25.125,25.375,25,25,12.620657,1196100,A2,CONFIRMED
10/08/1995,25,25.25,25,25.25,12.746861,657500,A2,CONFIRMED
11/08/1995,25.25,25.25,25,25.125,12.683756,393300,A2,CONFIRMED
14/08/1995,25.125,25.125,25,25.125,12.683756,318500,A2,CONFIRMED
15/08/1995,25.125,25.125,24.875,25.125,12.683756,898400,A2,CONFIRMED
16/08/1995,25.125,25.125,25,25,12.620657,303600,A2,CONFIRMED
17/08/1995,25,25.125,24.75,24.875,12.557552,1052700,A2,CONFIRMED
18/08/1995,24.875,25,24.875,25,12.620657,630900,A2,CONFIRMED
21/08/1995,25,25.125,24.875,24.875,12.557552,883700,A2,CONFIRMED
22/08/1995,24.875,25,24.875,25,12.620657,548400,A2,CONFIRMED
23/08/1995,25,25.125,24.875,25,12.620657,1136800,A2,CONFIRMED
24/08/1995,25,25,24.875,25,12.620657,1173700,A2,CONFIRMED
25/08/1995,25,25.5,25,25.5,12.873068,1779800,A2,CONFIRMED
28/08/1995,25.625,26,25.625,26,13.125482,2454200,A2,CONFIRMED
29/08/1995,26,26.25,26,26.25,13.251689,1899000,A2,CONFIRMED
30/08/1995,26.25,26.375,26.125,26.25,13.251689,1255500,A2,CONFIRMED
31/08/1995,26.25,26.375,26.125,26.25,13.251689,1595000,A2,CONFIRMED
01/09/1995,26.25,26.5,26.125,26.5,13.377893,1763500,A2,CONFIRMED
05/09/1995,26.5,26.75,26.375,26.75,13.504103,661700,A2,CONFIRMED
06/09/1995,27.125,27.875,27.125,27.5,13.882722,5333700,A2,CONFIRMED
07/09/1995,27.5,27.5,26.875,27.375,13.819619,2664800,A2,CONFIRMED
08/09/1995,27.375,27.75,27.375,27.5,13.882722,2850100,A2,CONFIRMED
11/09/1995,27.625,27.625,27.25,27.375,13.819619,1105300,A2,CONFIRMED
12/09/1995,27.5,27.5,27.25,27.375,13.819619,1643100,A2,CONFIRMED
13/09/1995,27.25,27.5,27.125,27.375,13.819619,1227200,A2,CONFIRMED
14/09/1995,27.5,27.75,27.375,27.75,14.008924,2834600,A2,CONFIRMED
15/09/1995,27.75,28.125,27.625,28.125,14.198235,1399100,A2,CONFIRMED
18/09/1995,27.875,28,27.625,27.875,14.07203,1249400,A2,CONFIRMED
19/09/1995,27.875,28,27.625,27.875,14.07203,887900,A2,CONFIRMED
20/09/1995,27.875,28,27.75,28,14.135129,371500,A2,CONFIRMED
21/09/1995,28,28.5,27.875,28.375,14.324444,7137600,A2,CONFIRMED
22/09/1995,28.125,28.625,28.125,28.625,14.450658,3462800,A2,CONFIRMED
25/09/1995,28.625,28.625,28.25,28.375,14.324444,1001000,A2,CONFIRMED
26/09/1995,28.375,28.625,28.25,28.25,14.261342,682400,A2,CONFIRMED
27/09/1995,28.25,28.25,28,28.125,14.198235,1119900,A2,CONFIRMED
28/09/1995,28.25,28.25,28,28.125,14.198235,1311800,A2,CONFIRMED
29/09/1995,28,28.125,27.875,27.875,14.07203,1023400,A2,CONFIRMED
02/10/1995,27.875,28,27.75,27.875,14.07203,488100,A2,CONFIRMED
03/10/1995,27.875,28.125,27.875,28,14.135129,1536600,A2,CONFIRMED
04/10/1995,28.125,28.625,28,28.625,14.450658,1276500,A2,CONFIRMED
05/10/1995,28.625,29.375,28.625,29,14.639958,1293100,A2,CONFIRMED
06/10/1995,29,29,28.875,29,14.639958,373400,A2,CONFIRMED
09/10/1995,28.875,29,28.625,28.875,14.576853,614900,A2,CONFIRMED
10/10/1995,28.75,28.875,28.5,28.875,14.576853,664700,A2,CONFIRMED
11/10/1995,28.875,29.125,28.875,29,14.639958,622100,A2,CONFIRMED
12/10/1995,28.75,28.875,28.625,28.75,14.691066,1031200,A2,CONFIRMED
