Date,Open,High,Low,Close,Adj Close,Volume,Rate,Action
21/10/1986,2.78125,2.79688,2.73438,2.78125,0.688284,763200,A1,New
22/10/1986,2.76562,2.76562,2.71875,2.73438,0.676685,1217600,A1,New
23/10/1986,2.75,2.78125,2.73438,2.78125,0.688284,898400,A1,New
24/10/1986,2.78125,2.89062,2.78125,2.89062,0.71535,1344800,A1,New
27/10/1986,2.875,2.90625,2.875,2.90625,0.719218,549600,A1,New
28/10/1986,2.875,2.96875,2.875,2.96875,0.734685,393600,A1,New
29/10/1986,2.98438,3.03125,2.95312,3.01562,0.746284,987200,A1,New
30/10/1986,3.04688,3.14062,3.03125,3.125,0.773353,4232800,A1,New
31/10/1986,3.10938,3.1875,3.10938,3.1875,0.78882,471200,A1,New
03/11/1986,3.1875,3.3125,3.1875,3.28125,0.812021,1259200,A1,New
04/11/1986,3.29688,3.35938,3.28125,3.34375,0.827487,1873600,A1,New
05/11/1986,3.34375,3.34375,3.29688,3.34375,0.827487,300000,A1,New
06/11/1986,3.34375,3.4375,3.32812,3.4375,0.850688,1836800,A1,New
07/11/1986,3.42188,3.51562,3.42188,3.48438,0.862289,1457600,A1,New
10/11/1986,3.5,3.5,3.39062,3.42188,0.846823,373600,A1,New
11/11/1986,3.42188,3.45312,3.39062,3.39062,0.839086,1599200,A1,New
12/11/1986,3.39062,3.40625,3.375,3.375,0.835221,5027200,A1,New
13/11/1986,3.40625,3.42188,3.375,3.39062,0.839086,1222400,A1,New
14/11/1986,3.375,3.40625,3.35938,3.39062,0.839086,508000,A1,New
17/11/1986,3.375,3.40625,3.35938,3.375,0.835221,2833600,A1,New
18/11/1986,3.375,3.40625,3.25,3.26562,0.808152,933600,A1,New
19/11/1986,3.26562,3.26562,3.23438,3.23438,0.800421,555200,A1,New
20/11/1986,3.23438,3.26562,3.23438,3.26562,0.808152,198400,A1,New
21/11/1986,3.26562,3.375,3.26562,3.375,0.835221,592000,A1,New
24/11/1986,3.375,3.40625,3.3125,3.32812,0.82362,913600,A1,New
25/11/1986,3.29688,3.3125,3.1875,3.26562,0.808152,1340000,A1,New
26/11/1986,3.26562,3.28125,3.25,3.25,0.804287,576800,A1,New
28/11/1986,3.26562,3.28125,3.26562,3.28125,0.812021,52000,A1,New
01/12/1986,3.28125,3.28125,3.20312,3.23438,0.800421,996800,A1,New
02/12/1986,3.23438,3.23438,3.1875,3.23438,0.800421,2673600,A1,New
03/12/1986,3.21875,3.26562,3.21875,3.25,0.804287,882400,A1,New
04/12/1986,3.26562,3.26562,3.21875,3.23438,0.800421,299200,A1,New
05/12/1986,3.21875,3.25,3.21875,3.23438,0.800421,317600,A1,New
08/12/1986,3.25,3.25,3.21875,3.21875,0.796554,296800,A1,New
09/12/1986,3.23438,3.23438,3.07812,3.10938,0.769487,466400,A1,New
10/12/1986,3.09375,3.20312,3.09375,3.17188,0.784954,916000,A1,New
11/12/1986,3.17188,3.20312,3.15625,3.15625,0.781086,311200,A1,New
12/12/1986,3.15625,3.1875,3.0625,3.09375,0.76562,1276800,A1,New
15/12/1986,3.0625,3.09375,3,3,0.742419,1281600,A1,New
16/12/1986,3,3.03125,2.98438,2.98438,0.738553,1436000,A1,New
17/12/1986,2.98438,3.01562,2.9375,3,0.742419,901600,A1,New
18/12/1986,3,3,2.96875,2.96875,0.734685,656000,A1,New
19/12/1986,2.98438,3,2.95312,3,0.742419,1448800,A1,New
22/12/1986,3,3,2.95312,2.98438,0.738553,1553600,A1,New
23/12/1986,2.96875,3,2.9375,2.96875,0.734685,1077600,A1,New
24/12/1986,2.95312,2.98438,2.9375,2.98438,0.738553,438400,A1,New
26/12/1986,2.95312,2.98438,2.95312,2.95312,0.756154,232000,A1,New
29/12/1986,2.98438,2.98438,2.9375,2.95312,0.756154,564000,A1,New
30/12/1986,2.95312,2.96875,2.9375,2.95312,0.756154,840800,A1,New
31/12/1986,2.9375,2.95312,2.92188,2.92188,0.748155,503200,A1,New
02/01/1987,2.95312,3.15625,2.95312,3.125,0.800165,676800,A1,New
05/01/1987,3.14062,3.3125,3.125,3.25,0.832171,2288800,A1,New
06/01/1987,3.26562,3.35938,3.25,3.3125,0.848174,1558400,A1,New
07/01/1987,3.3125,3.35938,3.28125,3.35938,0.860178,1732800,A1,New
08/01/1987,3.35938,3.40625,3.34375,3.40625,0.87218,1482400,A1,New
09/01/1987,3.40625,3.40625,3.34375,3.35938,0.860178,752000,A1,New
12/01/1987,3.35938,3.375,3.34375,3.35938,0.860178,319200,A1,New
13/01/1987,3.375,3.39062,3.34375,3.39062,0.868178,2344800,A1,New
14/01/1987,3.39062,3.39062,3.32812,3.375,0.864178,2266400,A1,New
15/01/1987,3.39062,3.40625,3.35938,3.35938,0.860178,2564000,A1,New
16/01/1987,3.375,3.375,3.3125,3.34375,0.856176,1726400,A1,New
19/01/1987,3.35938,3.39062,3.32812,3.375,0.864178,3813600,A1,New
20/01/1987,3.39062,3.46875,3.375,3.46875,0.888183,2957600,A1,New
21/01/1987,3.46875,3.76562,3.4375,3.6875,0.944194,2263200,A1,New
22/01/1987,3.70312,3.73438,3.67188,3.73438,0.956198,599200,A1,New
23/01/1987,3.73438,3.90625,3.73438,3.875,0.992204,1706400,A1,New
26/01/1987,3.85938,3.92188,3.82812,3.92188,1.004207,1260000,A1,New
27/01/1987,3.92188,3.96875,3.85938,3.875,0.992204,2220000,A1,New
28/01/1987,3.875,3.90625,3.8125,3.82812,0.980201,2035200,A1,New
29/01/1987,3.82812,3.82812,3.67188,3.70312,0.948194,974400,A1,New
30/01/1987,3.67188,3.82812,3.65625,3.82812,0.980201,696800,A1,New
02/02/1987,3.84375,3.90625,3.82812,3.90625,1.000206,1438400,A1,New
03/02/1987,3.90625,3.90625,3.79688,3.8125,0.976201,1108000,A1,New
04/02/1987,3.8125,3.8125,3.71875,3.78125,0.9682,1051200,A1,New
05/02/1987,3.8125,3.8125,3.78125,3.8125,0.976201,1105600,A1,New
06/02/1987,3.8125,3.85938,3.79688,3.84375,0.984202,1452800,A1,New
09/02/1987,3.84375,3.84375,3.75,3.75,0.960198,1504800,A1,New
10/02/1987,3.78125,3.78125,3.75,3.76562,0.964197,635200,A1,New
11/02/1987,3.76562,3.79688,3.76562,3.78125,0.9682,1040000,A1,New
12/02/1987,3.76562,3.79688,3.76562,3.78125,0.9682,1087200,A1,New
13/02/1987,3.78125,3.78125,3.75,3.76562,0.964197,272800,A1,New
17/02/1987,3.78125,3.82812,3.75,3.79688,0.972202,1423200,A1,New
18/02/1987,3.79688,3.875,3.79688,3.84375,0.984202,560000,A1,New
19/02/1987,3.875,3.89062,3.8125,3.84375,0.984202,572000,A1,New
20/02/1987,3.84375,3.89062,3.82812,3.85938,0.988205,742400,A1,New
23/02/1987,3.89062,3.89062,3.85938,3.875,0.992204,772000,A1,New
24/02/1987,3.85938,3.875,3.85938,3.875,0.992204,2255200,A1,New
25/02/1987,3.85938,3.89062,3.85938,3.875,0.992204,553600,A1,New
