Date,Open,High,Low,Close,Adj Close,Volume,Rate,Action
20/06/1995,4.944445,4.944445,4.875,4.930555,1.303205,174600,A2,New
21/06/1995,4.902778,4.972222,4.902778,4.916667,1.299534,280800,A2,New
22/06/1995,4.930555,5.013889,4.930555,5.013889,1.325232,264600,A2,New
23/06/1995,5.013889,5.055555,5.013889,5.055555,1.336244,453600,A2,New
26/06/1995,5.041667,5.055555,5.027778,5.055555,1.336244,194400,A2,New
27/06/1995,5.041667,5.083333,5.013889,5.069445,1.339915,427500,A2,New
28/06/1995,5.027778,5.097222,5.013889,5.069445,1.454572,166500,A2,New
29/06/1995,5.069445,5.097222,5.069445,5.083333,1.458557,383400,A2,New
30/06/1995,5.083333,5.111111,5.083333,5.111111,1.466527,306000,A2,New
03/07/1995,5.097222,5.111111,5.083333,5.097222,1.462542,99000,A2,New
05/07/1995,5.097222,5.138889,5.097222,5.138889,1.474498,91800,A2,New
06/07/1995,5.152778,5.222222,5.118055,5.222222,1.498408,183600,A2,New
07/07/1995,5.222222,5.25,5.180555,5.194445,1.490439,208800,A2,New
10/07/1995,5.194445,5.222222,5.194445,5.208333,1.494423,189900,A2,New
11/07/1995,5.222222,5.277778,5.222222,5.277778,1.514349,234000,A2,New
12/07/1995,5.291667,5.388889,5.277778,5.388889,1.54623,393300,A2,New
13/07/1995,5.388889,5.444445,5.375,5.444445,1.562171,181800,A2,New
14/07/1995,5.430555,5.430555,5.388889,5.402778,1.550215,1171800,A2,New
17/07/1995,5.402778,5.416667,5.361111,5.375,1.542245,108000,A2,New
18/07/1995,5.333333,5.388889,5.305555,5.388889,1.54623,336600,A2,New
19/07/1995,5.388889,5.388889,5.305555,5.333333,1.53029,214200,A2,New
20/07/1995,5.319445,5.361111,5.319445,5.361111,1.53826,90900,A2,New
21/07/1995,5.375,5.416667,5.361111,5.402778,1.550215,140400,A2,New
24/07/1995,5.430555,5.458333,5.430555,5.458333,1.566155,320400,A2,New
25/07/1995,5.444445,5.458333,5.430555,5.430555,1.558185,302400,A2,New
26/07/1995,5.444445,5.486111,5.444445,5.458333,1.566155,162000,A2,New
27/07/1995,5.472222,5.611111,5.472222,5.597222,1.606007,278100,A2,New
28/07/1995,5.597222,5.597222,5.416667,5.569445,1.598036,217800,A2,New
31/07/1995,5.597222,5.666667,5.597222,5.611111,1.609992,243000,A2,New
01/08/1995,5.611111,5.611111,5.527778,5.569445,1.598036,326700,A2,New
02/08/1995,5.569445,5.666667,5.569445,5.666667,1.625932,324900,A2,New
03/08/1995,5.638889,5.652778,5.569445,5.569445,1.598036,426600,A2,New
04/08/1995,5.583333,5.597222,5.583333,5.597222,1.606007,55800,A2,New
07/08/1995,5.597222,5.625,5.569445,5.583333,1.602021,429300,A2,CONFIRMED
08/08/1995,5.569445,5.597222,5.569445,5.583333,1.602021,99000,A2,CONFIRMED
09/08/1995,5.583333,5.611111,5.569445,5.611111,1.609992,552600,A2,CONFIRMED
10/08/1995,5.611111,5.652778,5.611111,5.652778,1.621948,94500,A2,CONFIRMED
11/08/1995,5.638889,5.666667,5.625,5.666667,1.625932,297900,A2,CONFIRMED
14/08/1995,5.666667,5.694445,5.611111,5.638889,1.617964,345600,A2,CONFIRMED
15/08/1995,5.625,5.652778,5.611111,5.638889,1.617964,266400,A2,CONFIRMED
16/08/1995,5.638889,5.694445,5.638889,5.694445,1.633904,126900,A2,CONFIRMED
17/08/1995,5.652778,5.694445,5.638889,5.694445,1.633904,176400,A2,CONFIRMED
18/08/1995,5.694445,5.694445,5.638889,5.638889,1.617964,90900,A2,CONFIRMED
21/08/1995,5.638889,5.680555,5.611111,5.611111,1.609992,178200,A2,CONFIRMED
22/08/1995,5.625,5.708333,5.625,5.708333,1.637888,97200,A2,CONFIRMED
23/08/1995,5.722222,5.805555,5.722222,5.805555,1.665785,243000,A2,CONFIRMED
24/08/1995,5.833333,5.847222,5.833333,5.847222,1.677738,92700,A2,CONFIRMED
25/08/1995,5.847222,5.888889,5.833333,5.888889,1.689695,153000,A2,CONFIRMED
28/08/1995,5.916667,6.041667,5.861111,5.902778,1.693681,510300,A2,CONFIRMED
29/08/1995,5.888889,5.944445,5.888889,5.916667,1.697664,424800,A2,CONFIRMED
30/08/1995,5.916667,5.944445,5.875,5.888889,1.689695,363600,A2,CONFIRMED
31/08/1995,5.875,5.902778,5.875,5.888889,1.689695,257400,A2,CONFIRMED
01/09/1995,5.888889,5.888889,5.805555,5.847222,1.677738,120600,A2,CONFIRMED
05/09/1995,5.819445,5.958333,5.791667,5.958333,1.737973,399600,A2,CONFIRMED
06/09/1995,5.958333,5.958333,5.861111,5.875,1.713666,179100,A2,CONFIRMED
07/09/1995,5.888889,5.916667,5.861111,5.888889,1.717718,188100,A2,CONFIRMED
08/09/1995,5.875,5.875,5.833333,5.861111,1.709614,62100,A2,CONFIRMED
11/09/1995,5.861111,5.888889,5.847222,5.861111,1.709614,123300,A2,CONFIRMED
12/09/1995,5.875,5.972222,5.847222,5.888889,1.717718,444600,A2,CONFIRMED
13/09/1995,5.875,5.916667,5.861111,5.916667,1.725819,125100,A2,CONFIRMED
14/09/1995,5.902778,5.986111,5.888889,5.986111,1.746076,213300,A2,CONFIRMED
15/09/1995,5.986111,5.986111,5.958333,5.972222,1.742025,137700,A2,CONFIRMED
18/09/1995,5.958333,5.958333,5.888889,5.916667,1.725819,480600,A2,CONFIRMED
19/09/1995,5.930555,5.930555,5.888889,5.930555,1.72987,145800,A2,CONFIRMED
20/09/1995,5.930555,5.972222,5.930555,5.944445,1.733922,126000,A2,CONFIRMED
21/09/1995,5.930555,5.930555,5.861111,5.916667,1.725819,130500,A2,CONFIRMED
22/09/1995,5.916667,5.916667,5.847222,5.875,1.713666,85500,A2,CONFIRMED
25/09/1995,5.888889,5.902778,5.833333,5.861111,1.709614,171000,A2,CONFIRMED
26/09/1995,5.847222,5.861111,5.763889,5.777778,1.685308,231300,A2,CONFIRMED
27/09/1995,5.722222,5.791667,5.722222,5.791667,1.814878,99000,A2,CONFIRMED
28/09/1995,5.791667,5.916667,5.791667,5.916667,1.854048,544500,A2,CONFIRMED
29/09/1995,5.888889,5.958333,5.888889,5.944445,1.862752,271800,A2,CONFIRMED
02/10/1995,5.944445,5.944445,5.930555,5.944445,1.862752,68400,A2,CONFIRMED
03/10/1995,5.944445,5.972222,5.930555,5.972222,1.871458,271800,A2,CONFIRMED
04/10/1995,5.986111,6.027778,5.986111,6.027778,1.888867,147600,A2,CONFIRMED
05/10/1995,6.097222,6.166667,6.069445,6.097222,1.910627,1431900,A2,CONFIRMED
06/10/1995,6.111111,6.152778,6.111111,6.138889,1.923684,113400,A2,CONFIRMED
09/10/1995,6.138889,6.138889,6.069445,6.097222,1.910627,88200,A2,CONFIRMED
10/10/1995,6.097222,6.097222,6.055555,6.055555,1.89757,271800,A2,CONFIRMED
11/10/1995,6.069445,6.152778,6.069445,6.138889,1.923684,168300,A2,CONFIRMED
12/10/1995,6.138889,6.291667,6.125,6.291667,1.971558,314100,A2,CONFIRMED
13/10/1995,6.291667,6.347222,6.291667,6.333333,1.984616,212400,A2,CONFIRMED
16/10/1995,6.347222,6.430555,6.347222,6.416667,2.010729,240300,A2,CONFIRMED
17/10/1995,6.388889,6.5,6.388889,6.5,2.036842,494100,A2,CONFIRMED
18/10/1995,6.513889,6.569445,6.513889,6.527778,2.045547,206100,A2,CONFIRMED
19/10/1995,6.513889,6.513889,6.472222,6.472222,2.028137,211500,A2,CONFIRMED
20/10/1995,6.458333,6.458333,6.388889,6.444445,2.019433,171900,A2,CONFIRMED
