Date,Open,High,Low,Close,Adj Close,Volume,Rate,Action
20/06/1995,7.15625,7.21875,7.0625,7.21875,2.60076,3244800,Aa3,New
21/06/1995,7.21875,7.25,7.125,7.15625,2.578243,1968000,Aa3,New
22/06/1995,7.1875,7.21875,7.15625,7.1875,2.5895,1984400,Aa3,New
23/06/1995,7.1875,7.28125,7.1875,7.28125,2.623276,2714800,Aa3,New
26/06/1995,7.25,7.34375,7.21875,7.28125,2.623276,1976000,Aa3,New
27/06/1995,7.25,7.28125,7.21875,7.21875,2.60076,1969200,Aa3,New
28/06/1995,7.25,7.3125,7.21875,7.28125,2.623276,2432000,Aa3,New
29/06/1995,7.28125,7.28125,7.21875,7.25,2.612019,2424400,Aa3,New
30/06/1995,7.28125,7.34375,7.15625,7.1875,2.5895,3081200,Aa3,New
03/07/1995,7.1875,7.21875,7.125,7.1875,2.5895,556800,Aa3,New
05/07/1995,7.1875,7.21875,7.125,7.15625,2.578243,1879200,Aa3,New
06/07/1995,7.1875,7.21875,7.0625,7.21875,2.60076,1638800,Aa3,New
07/07/1995,7.25,7.375,7.25,7.34375,2.645794,3628800,Aa3,New
10/07/1995,7.3125,7.40625,7.25,7.375,2.657052,1387200,Aa3,New
11/07/1995,7.375,7.40625,7.21875,7.3125,2.634535,2655200,Aa3,New
12/07/1995,7.28125,7.3125,7.15625,7.3125,2.634535,5097600,Aa3,New
13/07/1995,7.28125,7.375,7.25,7.375,2.657052,1801200,Aa3,New
14/07/1995,7.34375,7.40625,7.21875,7.25,2.612019,2073600,Aa3,New
17/07/1995,7.21875,7.21875,7.125,7.1875,2.5895,1079200,Aa3,New
18/07/1995,7.09375,7.1875,6.96875,7.15625,2.578243,1468000,Aa3,New
19/07/1995,7.125,7.25,6.875,7,2.521949,3026000,Aa3,New
20/07/1995,7,7.03125,6.8125,7,2.521949,5012800,Aa3,New
21/07/1995,7,7.21875,7,7.125,2.566984,2178400,Aa3,New
24/07/1995,7.15625,7.15625,7.0625,7.0625,2.544464,2103600,Aa3,New
25/07/1995,7.0625,7.15625,7.0625,7.125,2.566984,2436800,Aa3,New
26/07/1995,7.125,7.21875,7.125,7.125,2.566984,1804800,Aa3,New
