Date,Open,High,Low,Close,Adj Close,Volume,Rate
20111101,6.56,6.56,6.24,6.24,6.24,2719290,B2
20111102,6.15,6.24,5.97,5.97,5.97,1255220,B2
20111103,5.88,5.97,5.7,5.92,5.92,1193910,B2
20111104,5.97,5.97,5.83,5.83,5.83,483860,B2
20111107,5.83,5.83,5.56,5.56,5.56,1158750,B2
20111108,5.47,5.51,5.33,5.43,5.43,1105490,B2
20111109,5.38,5.43,5.25,5.25,5.25,740500,B2
20111110,5.16,5.48,5.16,5.34,5.34,1258020,B2
20111111,5.43,5.52,5.39,5.43,5.43,1024320,B2
20111114,5.38,5.43,5.34,5.38,5.38,681580,B2
20111115,5.38,5.43,5.33,5.34,5.34,333650,B2
20111116,5.34,5.43,5.29,5.38,5.38,963200,B2
20111117,5.38,5.38,5.29,5.38,5.38,833240,B2
20111118,5.33,5.43,5.24,5.43,5.43,1468870,B2
20111121,5.34,5.61,5.34,5.61,5.61,1247370,B2
20111122,5.61,5.88,5.61,5.79,5.79,1100380,B2
20111123,5.84,5.88,5.7,5.74,5.74,580420,B2
20111124,5.74,5.74,5.6,5.61,5.61,545770,B2
20111125,5.56,5.61,5.47,5.56,5.56,587810,B2
20111128,5.61,5.79,5.56,5.7,5.7,1119140,B2
20111129,5.7,5.84,5.7,5.79,5.79,1368920,B2
20111130,5.84,5.84,5.65,5.65,5.65,1192350,B2
20111201,5.7,5.79,5.7,5.74,5.74,903960,B2
20111202,5.74,5.79,5.69,5.74,5.74,505490,B2
20111205,5.74,5.92,5.74,5.88,5.88,915680,B2
20111206,5.88,5.88,5.79,5.79,5.79,709500,B2
20111207,5.89,5.94,5.74,5.84,5.84,1243680,B2
20111208,5.89,5.89,5.79,5.79,5.79,381970,B2
20111209,5.79,5.79,5.64,5.69,5.69,861100,B2
20111212,5.64,5.79,5.64,5.74,5.74,640030,B2
20111213,5.69,5.79,5.69,5.69,5.69,648920,B2
20111214,5.69,5.69,5.54,5.64,5.64,1185060,B2
20111215,5.69,5.69,5.49,5.64,5.64,582760,B2
20111216,5.64,5.74,5.59,5.64,5.64,510930,B2
20111219,5.59,5.69,5.59,5.64,5.64,468810,B2
20111220,5.59,5.64,5.59,5.64,5.64,560760,B2
20111221,5.64,5.69,5.64,5.69,5.69,588730,B2
20111222,5.69,5.69,5.54,5.59,5.59,587640,B2
20111223,5.59,5.64,5.54,5.54,5.54,597370,B2
20111226,5.54,5.59,5.34,5.49,5.49,1035190,B2
20111227,5.44,5.44,5.24,5.24,5.24,1727600,B2
20111228,5.24,5.34,5.19,5.29,5.29,1741660,B2
20111229,5.34,5.39,5.29,5.39,5.39,1019180,B2
20111230,5.39,5.49,5.39,5.39,5.39,510030,B2
20120103,5.39,5.44,5.34,5.44,5.44,462000,B2
20120104,5.39,5.44,5.29,5.44,5.44,368740,B2
20120105,5.44,5.44,5.29,5.34,5.34,478490,B2
20120106,5.34,5.39,5.29,5.34,5.34,331370,B2
20120109,5.39,5.44,5.29,5.39,5.39,464800,B2
20120110,5.34,5.49,5.34,5.49,5.49,897700,B2
20120111,5.54,5.54,5.49,5.54,5.54,653750,B2
20120112,5.54,5.64,5.49,5.64,5.64,475010,B2
20120113,5.64,5.74,5.64,5.74,5.74,425170,B2
20120116,5.74,5.94,5.74,5.89,5.89,553980,B2
20120117,5.94,5.94,5.74,5.74,5.74,645660,B2
20120118,5.74,5.89,5.69,5.74,5.74,343520,B2
20120119,5.84,5.94,5.79,5.94,5.94,268670,B2
20120120,5.94,5.99,5.84,5.89,5.89,275900,B2
20120130,5.94,5.99,5.84,5.99,5.99,457150,B2
20120131,5.99,6.19,5.94,6.04,6.04,822330,B2
20120201,6.04,6.04,5.89,5.99,5.99,586840,B2
20120202,6.09,6.29,6.09,6.29,6.29,1360930,B2
20120203,6.44,6.59,6.34,6.39,6.39,4077030,B2
20120206,6.49,6.49,6.24,6.24,6.24,1157510,B2
20120207,6.39,6.39,6.19,6.29,6.29,963570,B2
20120208,6.34,6.54,6.29,6.54,6.54,2496360,B2
20120209,6.54,6.84,6.54,6.69,6.69,4113510,B2
20120210,6.69,6.79,6.54,6.59,6.59,3139790,B2
20120213,6.64,6.64,6.43,6.42,6.42,949610,B2
20120214,6.42,6.63,6.37,6.63,6.63,1310730,B2
20120215,6.63,6.63,6.37,6.47,6.47,1089850,B2
20120216,6.42,6.52,6.37,6.52,6.52,1264950,B2
20120217,6.52,6.62,6.52,6.63,6.63,1215500,B2
20120220,6.73,6.94,6.68,6.89,6.89,2941850,B2
20120221,6.99,6.99,6.73,6.73,6.73,2805190,B2
20120222,6.68,6.99,6.68,6.94,6.94,3635880,B2
20120223,6.99,7.25,6.89,7.25,7.25,5790660,B2
20120224,7.35,7.56,7.3,7.41,7.41,7576700,B2
20120227,7.51,7.72,7.36,7.67,7.67,5071310,B2
20120228,7.83,7.83,7.3,7.46,7.46,4770100,B2
20120229,7.3,7.62,7.3,7.62,7.62,6070940,B2
20120301,7.67,7.99,7.57,7.94,7.94,11644670,B2
20120302,8.1,8.31,8.05,8.31,8.31,14086080,B2
20120305,8.68,8.68,8.68,8.68,8.68,1604700,B2
20120306,9.11,9.11,8.68,8.79,8.79,15791100,B2
20120307,8.68,8.79,8.42,8.58,8.58,9630560,B2
20120308,8.21,8.53,8.15,8.15,8.15,9290320,B2
20120309,7.88,8.2,7.78,7.94,7.94,6469510,B2
20120312,7.67,7.94,7.57,7.67,7.67,7728610,B2
20120313,7.83,8.04,7.67,7.99,7.99,5046780,B2
20120314,7.78,8.15,7.78,7.78,7.78,3632820,B2
20120315,7.67,8.15,7.62,8.15,8.15,5270660,B2
20120316,8.26,8.52,8.2,8.26,8.26,6865540,B2
20120319,8.21,8.42,8.15,8.26,8.26,4156720,B2
20120320,8.31,8.47,8.26,8.47,8.47,3748430,B2
20120321,8.58,8.84,8.52,8.63,8.63,8486760,B2
20120322,8.52,8.68,8.42,8.42,8.42,5042930,B2
20120323,8.53,8.69,8.42,8.52,8.52,6886300,B2
20120326,8.25,8.63,8.25,8.26,8.26,4345740,B2
20120327,8.15,8.26,7.89,7.88,7.88,6171100,B2
20120328,7.77,8.04,7.67,8.04,8.04,3287320,B2
